"Geneid" "Allel" "Tissue" "Value"
"1" "Ntsc3922" "BA" "veg" -0.60383013332108
"2" "Ntsc3922" "BA" "sex" 0.298446874342874
"3" "Ntsc3922" "sa" "veg" -0.108364091099356
"4" "Ntsc3922" "sa" "sex" -0.149004461433102
"5" "Ntsc1443" "BA" "veg" 0.345326830110895
"6" "Ntsc1443" "BA" "sex" 0.689182220083333
"7" "Ntsc1443" "sa" "veg" 0.820377924295849
"8" "Ntsc1443" "sa" "sex" 0.3207391564555
"9" "Ntsc3921" "BA" "veg" -0.0736233437586777
"10" "Ntsc3921" "BA" "sex" 0.660716507689468
"11" "Ntsc3921" "sa" "veg" 0.441069533368293
"12" "Ntsc3921" "sa" "sex" 0.357815487502241
"13" "Ntsc1442" "BA" "veg" -0.316444260520245
"14" "Ntsc1442" "BA" "sex" -0.512116642652766
"15" "Ntsc1442" "sa" "veg" 0.204895292435862
"16" "Ntsc1442" "sa" "sex" 0.344525162852166
"17" "Ntsc3920" "BA" "veg" 0.338934006022679
"18" "Ntsc3920" "BA" "sex" -0.145128967595735
"19" "Ntsc3920" "sa" "veg" 0.512391648519125
"20" "Ntsc3920" "sa" "sex" 0.286054001666299
"21" "Ntsc3909" "BA" "veg" -0.152577147200745
"22" "Ntsc3909" "BA" "sex" 0.60744244157349
"23" "Ntsc3909" "sa" "veg" -0.561903111023901
"24" "Ntsc3909" "sa" "sex" -0.153757674577003
"25" "Ntsc3931" "BA" "veg" 0.242921566408321
"26" "Ntsc3931" "BA" "sex" 0.285105724451553
"27" "Ntsc3931" "sa" "veg" 0.574547479653788
"28" "Ntsc3931" "sa" "sex" 0.0415165520828165
"29" "Ntsc3919" "BA" "veg" -0.0998500358254916
"30" "Ntsc3919" "BA" "sex" -0.346907678831479
"31" "Ntsc3919" "sa" "veg" 0.345557648217403
"32" "Ntsc3919" "sa" "sex" 0.0222025794874548
"33" "Ntsc3930" "BA" "veg" -0.784637094764068
"34" "Ntsc3930" "BA" "sex" 0.145596902405999
"35" "Ntsc3930" "sa" "veg" 0.0858126249638717
"36" "Ntsc3930" "sa" "sex" 0.24563633313905
"37" "Ntsc1441" "BA" "veg" 0.0811059104087761
"38" "Ntsc1441" "BA" "sex" 0.533509682273866
"39" "Ntsc1441" "sa" "veg" -0.335726068802858
"40" "Ntsc1441" "sa" "sex" 0.176101770073504
"41" "Ntsc3908" "BA" "veg" 0.31431266158042
"42" "Ntsc3908" "BA" "sex" -0.438665155958966
"43" "Ntsc3908" "sa" "veg" -0.807132523160704
"44" "Ntsc3908" "sa" "sex" -0.525454221631055
"45" "Ntsc3929" "BA" "veg" -0.719685658188628
"46" "Ntsc3929" "BA" "sex" 0.777142912441797
"47" "Ntsc3929" "sa" "veg" -0.173208131852099
"48" "Ntsc3929" "sa" "sex" 0.881640246785104
"49" "Ntsc3918" "BA" "veg" 0.693972731385065
"50" "Ntsc3918" "BA" "sex" -0.0946357317826889
"51" "Ntsc3918" "sa" "veg" 0.692857649156839
"52" "Ntsc3918" "sa" "sex" -0.0947107249175777
"53" "Ntsc3917" "BA" "veg" 0.408972177212409
"54" "Ntsc3917" "BA" "sex" 0.911676030761781
"55" "Ntsc3917" "sa" "veg" 0.545040134329768
"56" "Ntsc3917" "sa" "sex" 0.524563116551463
"57" "Ntsc1438" "BA" "veg" -0.492572222743841
"58" "Ntsc1438" "BA" "sex" -0.669083022281442
"59" "Ntsc1438" "sa" "veg" -0.625098558896809
"60" "Ntsc1438" "sa" "sex" -0.193266115694969
"61" "Ntsc1437" "BA" "veg" 0.789809435339174
"62" "Ntsc1437" "BA" "sex" 0.575477066024801
"63" "Ntsc1437" "sa" "veg" 0.105990935940687
"64" "Ntsc1437" "sa" "sex" -0.18680301617031
"65" "Ntsc3928" "BA" "veg" 0.412599670837511
"66" "Ntsc3928" "BA" "sex" 0.846320945403013
"67" "Ntsc3928" "sa" "veg" 0.645128045409433
"68" "Ntsc3928" "sa" "sex" 0.510206401191288
"69" "Ntsc3916" "BA" "veg" -0.0919689850226941
"70" "Ntsc3916" "BA" "sex" 0.0691580130137763
"71" "Ntsc3916" "sa" "veg" 0.0462060963204798
"72" "Ntsc3916" "sa" "sex" -0.172475913497502
"73" "Ntsc1440" "BA" "veg" -0.796304921649798
"74" "Ntsc1440" "BA" "sex" -0.0246683507936607
"75" "Ntsc1440" "sa" "veg" -0.289979110911733
