Geneid	crassa_BA_sex	crassa_BA_veg	crassa_sa_sex	crassa_sa_veg	L1_BA_sex	L1_BA_veg	L1_sa_sex	L1_sa_veg	L10_BA_sex	L10_BA_veg	L10_sa_sex	L10_sa_veg	L6_BA_sex	L6_BA_veg	L6_sa_sex	L6_sa_veg	sito_BA_sex	sito_BA_veg	sito_sa_sex	sito_sa_veg
Ntsc3922	0.309178743961353	0.236714975845411	0.27536231884058	0.231884057971014	0.265700483091787	0.29951690821256	0.270531400966184	0.29951690821256	0.328502415458937	0.236714975845411	0.309178743961353	0.246376811594203	0.188405797101449	0.21256038647343	0.265700483091787	0.222222222222222	0.270531400966184	0.27536231884058	0.333333333333333	0.251207729468599
Ntsc1443	0.3	0.260714285714286	0.267857142857143	0.25	0.228571428571429	0.221428571428571	0.221428571428571	0.228571428571429	0.289285714285714	0.221428571428571	0.285714285714286	0.267857142857143	0.185714285714286	0.182142857142857	0.257142857142857	0.189285714285714	0.239285714285714	0.235714285714286	0.278571428571429	0.221428571428571
Ntsc3921	0.202898550724638	0.202898550724638	0.256038647342995	0.260869565217391	0.14975845410628	0.21256038647343	0.144927536231884	0.169082125603865	0.188405797101449	0.183574879227053	0.193236714975845	0.246376811594203	0.169082125603865	0.144927536231884	0.188405797101449	0.183574879227053	0.173913043478261	0.198067632850242	0.265700483091787	0.21256038647343
Ntsc1442	0.301369863013699	0.287671232876712	0.328767123287671	0.315068493150685	0.191780821917808	0.178082191780822	0.205479452054795	0.178082191780822	0.287671232876712	0.205479452054795	0.246575342465753	0.26027397260274	0.205479452054795	0.205479452054795	0.342465753424658	0.26027397260274	0.287671232876712	0.287671232876712	0.287671232876712	0.232876712328767
Ntsc3920	0.183333333333333	0.175	0.125	0.183333333333333	0.15	0.183333333333333	0.175	0.183333333333333	0.216666666666667	0.133333333333333	0.166666666666667	0.2	0.175	0.158333333333333	0.2	0.125	0.183333333333333	0.216666666666667	0.183333333333333	0.158333333333333
Ntsc3909	0.270833333333333	0.241666666666667	0.316666666666667	0.258333333333333	0.191666666666667	0.216666666666667	0.166666666666667	0.170833333333333	0.254166666666667	0.241666666666667	0.225	0.216666666666667	0.1875	0.204166666666667	0.233333333333333	0.191666666666667	0.245833333333333	0.241666666666667	0.3375	0.220833333333333
Ntsc3931	0.236111111111111	0.25462962962963	0.236111111111111	0.226851851851852	0.180555555555556	0.208333333333333	0.180555555555556	0.203703703703704	0.240740740740741	0.199074074074074	0.259259259259259	0.263888888888889	0.180555555555556	0.180555555555556	0.194444444444444	0.157407407407407	0.208333333333333	0.208333333333333	0.277777777777778	0.240740740740741
Ntsc3919	0.252777777777778	0.258333333333333	0.266666666666667	0.227777777777778	0.25	0.2	0.230555555555556	0.255555555555556	0.275	0.25	0.233333333333333	0.258333333333333	0.213888888888889	0.2	0.255555555555556	0.202777777777778	0.219444444444444	0.213888888888889	0.247222222222222	0.247222222222222
Ntsc3930	0.263636363636364	0.248484848484848	0.281818181818182	0.212121212121212	0.193939393939394	0.2	0.206060606060606	0.206060606060606	0.23030303030303	0.187878787878788	0.23030303030303	0.242424242424242	0.172727272727273	0.175757575757576	0.233333333333333	0.175757575757576	0.236363636363636	0.196969696969697	0.257575757575758	0.254545454545455
Ntsc1441	0.315261044176707	0.279116465863454	0.311244979919679	0.263052208835341	0.242971887550201	0.242971887550201	0.22289156626506	0.240963855421687	0.263052208835341	0.230923694779116	0.253012048192771	0.234939759036145	0.204819277108434	0.214859437751004	0.259036144578313	0.200803212851406	0.29718875502008	0.275100401606426	0.307228915662651	0.293172690763052
