"Geneid" "Allel" "Tissue" "Value"
"1" "Ntsc3922" "BA" "veg" -0.66688592885535
"2" "Ntsc3922" "BA" "sex" 0
"3" "Ntsc3922" "sa" "veg" -0.1
"4" "Ntsc3922" "sa" "sex" 0.1
"5" "Ntsc1443" "BA" "veg" 0.410391340834062
"6" "Ntsc1443" "BA" "sex" 0.7
"7" "Ntsc1443" "sa" "veg" 1
"8" "Ntsc1443" "sa" "sex" 0.1
"9" "Ntsc3921" "BA" "veg" 0.0512989176042577
"10" "Ntsc3921" "BA" "sex" 0.6
"11" "Ntsc3921" "sa" "veg" 0.1
"12" "Ntsc3921" "sa" "sex" 0.6
"13" "Ntsc1442" "BA" "veg" -0.210818510677892
"14" "Ntsc1442" "BA" "sex" 0.102597835208515
"15" "Ntsc1442" "sa" "veg" 0.615587011251092
"16" "Ntsc1442" "sa" "sex" 0.153896752812773
"17" "Ntsc3920" "BA" "veg" 0.7
"18" "Ntsc3920" "BA" "sex" -0.153896752812773
"19" "Ntsc3920" "sa" "veg" -0.102597835208515
"20" "Ntsc3920" "sa" "sex" 0.6
"21" "Ntsc3909" "BA" "veg" -0.461690258438319
"22" "Ntsc3909" "BA" "sex" 0.66688592885535
"23" "Ntsc3909" "sa" "veg" -0.6
"24" "Ntsc3909" "sa" "sex" -0.3
"25" "Ntsc3931" "BA" "veg" 0.205195670417031
"26" "Ntsc3931" "BA" "sex" -0.102597835208515
"27" "Ntsc3931" "sa" "veg" 0.6
"28" "Ntsc3931" "sa" "sex" -0.7
"29" "Ntsc3919" "BA" "veg" -0.461690258438319
"30" "Ntsc3919" "BA" "sex" -0.1
"31" "Ntsc3919" "sa" "veg" 0.6
"32" "Ntsc3919" "sa" "sex" -0.3
"33" "Ntsc3930" "BA" "veg" -0.4
"34" "Ntsc3930" "BA" "sex" 0.1
"35" "Ntsc3930" "sa" "veg" 0.3
"36" "Ntsc3930" "sa" "sex" 0.3
"37" "Ntsc1441" "BA" "veg" 0.5
"38" "Ntsc1441" "BA" "sex" 0.8
"39" "Ntsc1441" "sa" "veg" -0.1
"40" "Ntsc1441" "sa" "sex" 0
"41" "Ntsc3908" "BA" "veg" 0.359092423229804
"42" "Ntsc3908" "BA" "sex" -0.6
"43" "Ntsc3908" "sa" "veg" -1
"44" "Ntsc3908" "sa" "sex" -0.6
"45" "Ntsc3929" "BA" "veg" -0.9
"46" "Ntsc3929" "BA" "sex" 0.7
"47" "Ntsc3929" "sa" "veg" -1
"48" "Ntsc3929" "sa" "sex" 0.8
"49" "Ntsc3918" "BA" "veg" 0.307793505625546
"50" "Ntsc3918" "BA" "sex" -0.4
"51" "Ntsc3918" "sa" "veg" 0.5
"52" "Ntsc3918" "sa" "sex" 0
"53" "Ntsc3917" "BA" "veg" 0.1
"54" "Ntsc3917" "BA" "sex" 0.820782681668123
"55" "Ntsc3917" "sa" "veg" 0.6
"56" "Ntsc3917" "sa" "sex" 0.564288093646835
"57" "Ntsc1438" "BA" "veg" -0.7
"58" "Ntsc1438" "BA" "sex" -0.7
"59" "Ntsc1438" "sa" "veg" -0.447213595499958
"60" "Ntsc1438" "sa" "sex" -0.5
"61" "Ntsc1437" "BA" "veg" 0.66688592885535
"62" "Ntsc1437" "BA" "sex" 0.564288093646835
"63" "Ntsc1437" "sa" "veg" 0.359092423229804
"64" "Ntsc1437" "sa" "sex" -0.3
"65" "Ntsc3928" "BA" "veg" 0.1
"66" "Ntsc3928" "BA" "sex" 1
"67" "Ntsc3928" "sa" "veg" 0.66688592885535
"68" "Ntsc3928" "sa" "sex" 0.66688592885535
"69" "Ntsc3916" "BA" "veg" -0.2
"70" "Ntsc3916" "BA" "sex" 0.307793505625546
"71" "Ntsc3916" "sa" "veg" 0.205195670417031
"72" "Ntsc3916" "sa" "sex" 0
"73" "Ntsc1440" "BA" "veg" -0.8
"74" "Ntsc1440" "BA" "sex" -0.153896752812773
"75" "Ntsc1440" "sa" "veg" 0.1
"76" "Ntsc1440" "sa" "sex" -0.1
"77" "Ntsc3927" "BA" "veg" 0.286769667338202
"78" "Ntsc3927" "BA" "sex" -0.6
