"Geneid" "Allel" "Tissue" "Value"
"1" "Ntsc3922" "BA" "veg" -0.607868923062222
"2" "Ntsc3922" "BA" "sex" 0.304066023069595
"3" "Ntsc3922" "sa" "veg" -0.232994254751445
"4" "Ntsc3922" "sa" "sex" -0.11640105364556
"5" "Ntsc1443" "BA" "veg" 0.482702718579943
"6" "Ntsc1443" "BA" "sex" 0.699014252658115
"7" "Ntsc1443" "sa" "veg" 0.926803665404844
"8" "Ntsc1443" "sa" "sex" 0.326662901791393
"9" "Ntsc3921" "BA" "veg" -0.0745618941990745
"10" "Ntsc3921" "BA" "sex" 0.692605767280485
"11" "Ntsc3921" "sa" "veg" 0.405746093128847
"12" "Ntsc3921" "sa" "sex" 0.504034056813915
"13" "Ntsc1442" "BA" "veg" -0.327336674048418
"14" "Ntsc1442" "BA" "sex" -0.522275666325028
"15" "Ntsc1442" "sa" "veg" 0.342247744855142
"16" "Ntsc1442" "sa" "sex" 0.113735900513908
"17" "Ntsc3920" "BA" "veg" 0.352649180021332
"18" "Ntsc3920" "BA" "sex" -0.152275342490459
"19" "Ntsc3920" "sa" "veg" 0.0862941558570622
"20" "Ntsc3920" "sa" "sex" 0.477316580489072
"21" "Ntsc3909" "BA" "veg" -0.158180643636007
"22" "Ntsc3909" "BA" "sex" 0.799968815561169
"23" "Ntsc3909" "sa" "veg" -0.848514958167626
"24" "Ntsc3909" "sa" "sex" -0.304782585634225
"25" "Ntsc3931" "BA" "veg" 0.259612984652445
"26" "Ntsc3931" "BA" "sex" 0.302714792334212
"27" "Ntsc3931" "sa" "veg" 0.677308248625959
"28" "Ntsc3931" "sa" "sex" -0.441959113880138
"29" "Ntsc3919" "BA" "veg" -0.106447102638765
"30" "Ntsc3919" "BA" "sex" -0.350256484955882
"31" "Ntsc3919" "sa" "veg" 0.127681765257105
"32" "Ntsc3919" "sa" "sex" 0.158884822925049
"33" "Ntsc3930" "BA" "veg" -0.817718863882709
"34" "Ntsc3930" "BA" "sex" 0.147354491760066
"35" "Ntsc3930" "sa" "veg" 0.165972115927312
"36" "Ntsc3930" "sa" "sex" 0.278614801375297
"37" "Ntsc1441" "BA" "veg" 0.0943902076177754
"38" "Ntsc1441" "BA" "sex" 0.558160335537054
"39" "Ntsc1441" "sa" "veg" -0.20911643598323
"40" "Ntsc1441" "sa" "sex" 0.18426952146931
"41" "Ntsc3908" "BA" "veg" 0.314676479906626
"42" "Ntsc3908" "BA" "sex" -0.441998766981571
"43" "Ntsc3908" "sa" "veg" -0.865204018673868
"44" "Ntsc3908" "sa" "sex" -0.519179052573018
"45" "Ntsc3929" "BA" "veg" -0.825289215963816
"46" "Ntsc3929" "BA" "sex" 0.834433068561315
"47" "Ntsc3929" "sa" "veg" -0.906558938155254
"48" "Ntsc3929" "sa" "sex" 0.888842430153467
"49" "Ntsc3918" "BA" "veg" 0.738488238463738
"50" "Ntsc3918" "BA" "sex" -0.114349496842113
"51" "Ntsc3918" "sa" "veg" 0.255435423919293
"52" "Ntsc3918" "sa" "sex" -0.0658649459925986
"53" "Ntsc3917" "BA" "veg" 0.423053101266427
"54" "Ntsc3917" "BA" "sex" 0.915512458106175
"55" "Ntsc3917" "sa" "veg" 0.543026841627974
"56" "Ntsc3917" "sa" "sex" 0.561283907312176
"57" "Ntsc1438" "BA" "veg" -0.501921645715566
"58" "Ntsc1438" "BA" "sex" -0.68355527577287
"59" "Ntsc1438" "sa" "veg" -0.634724441616165
"60" "Ntsc1438" "sa" "sex" -0.438744039117893
