"Geneid" "Allel" "Tissue" "Value"
"1" "Ntsc3922" "BA" "veg" -0.607868923062222
"2" "Ntsc3922" "BA" "sex" 0.304066023069595
"3" "Ntsc3922" "sa" "veg" -0.232994254751445
"4" "Ntsc3922" "sa" "sex" -0.11640105364556
"5" "Ntsc1443" "BA" "veg" 0.482702718579943
"6" "Ntsc1443" "BA" "sex" 0.699014252658115
"7" "Ntsc1443" "sa" "veg" 0.926803665404844
"8" "Ntsc1443" "sa" "sex" 0.326662901791393
"9" "Ntsc3921" "BA" "veg" -0.108403995662644
"10" "Ntsc3921" "BA" "sex" 0.655381162931526
"11" "Ntsc3921" "sa" "veg" 0.362513148375574
"12" "Ntsc3921" "sa" "sex" 0.466614868689029
"13" "Ntsc1442" "BA" "veg" -0.327336674048419
"14" "Ntsc1442" "BA" "sex" -0.465953904104055
"15" "Ntsc1442" "sa" "veg" 0.342247744855135
"16" "Ntsc1442" "sa" "sex" 0.127767246155715
"17" "Ntsc3920" "BA" "veg" 0.352649180021332
"18" "Ntsc3920" "BA" "sex" -0.152275342490459
"19" "Ntsc3920" "sa" "veg" 0.0862941558570622
"20" "Ntsc3920" "sa" "sex" 0.477316580489072
"21" "Ntsc3909" "BA" "veg" -0.186196202578647
"22" "Ntsc3909" "BA" "sex" 0.859048680556902
"23" "Ntsc3909" "sa" "veg" -0.889711342583376
"24" "Ntsc3909" "sa" "sex" -0.268680193562371
"25" "Ntsc3931" "BA" "veg" 0.259612984652445
"26" "Ntsc3931" "BA" "sex" 0.302714792334212
"27" "Ntsc3931" "sa" "veg" 0.677308248625959
"28" "Ntsc3931" "sa" "sex" -0.441959113880138
"29" "Ntsc3919" "BA" "veg" -0.176857535668427
"30" "Ntsc3919" "BA" "sex" -0.243092147329188
"31" "Ntsc3919" "sa" "veg" 0.130505105947261
"32" "Ntsc3919" "sa" "sex" -0.0303653479941569
"33" "Ntsc3930" "BA" "veg" -0.817718863882709
"34" "Ntsc3930" "BA" "sex" 0.147354491760066
"35" "Ntsc3930" "sa" "veg" 0.165972115927312
"36" "Ntsc3930" "sa" "sex" 0.278614801375297
"37" "Ntsc1441" "BA" "veg" 0.0943902076177754
"38" "Ntsc1441" "BA" "sex" 0.558160335537054
"39" "Ntsc1441" "sa" "veg" -0.20911643598323
"40" "Ntsc1441" "sa" "sex" 0.18426952146931
"41" "Ntsc3908" "BA" "veg" 0.314676479906626
"42" "Ntsc3908" "BA" "sex" -0.441998766981571
"43" "Ntsc3908" "sa" "veg" -0.865204018673868
"44" "Ntsc3908" "sa" "sex" -0.519179052573018
"45" "Ntsc3929" "BA" "veg" -0.825289215963816
"46" "Ntsc3929" "BA" "sex" 0.834433068561315
"47" "Ntsc3929" "sa" "veg" -0.906558938155254
"48" "Ntsc3929" "sa" "sex" 0.888842430153467
"49" "Ntsc3918" "BA" "veg" 0.609947960958271
"50" "Ntsc3918" "BA" "sex" -0.0881017127284915
"51" "Ntsc3918" "sa" "veg" 0.344948556096765
"52" "Ntsc3918" "sa" "sex" -0.126257254196151
"53" "Ntsc3917" "BA" "veg" 0.3932036105143
"54" "Ntsc3917" "BA" "sex" 0.859735440501437
"55" "Ntsc3917" "sa" "veg" 0.428962627964948
"56" "Ntsc3917" "sa" "sex" 0.52174870792911
"57" "Ntsc1438" "BA" "veg" -0.501921645715567
"58" "Ntsc1438" "BA" "sex" -0.683555275772866
"59" "Ntsc1438" "sa" "veg" -0.634724441616161
"60" "Ntsc1438" "sa" "sex" -0.438744039117898
