"Geneid" "Allel" "Tissue" "Value"
"1" "Ntsc3922" "BA" "veg" -0.621285957190007
"2" "Ntsc3922" "BA" "sex" 0.174574312188794
"3" "Ntsc3922" "sa" "veg" 0.0763762615825973
"4" "Ntsc3922" "sa" "sex" 0.0654653670707977
"5" "Ntsc1443" "BA" "veg" 0.207095319063336
"6" "Ntsc1443" "BA" "sex" 0.665564565219777
"7" "Ntsc1443" "sa" "veg" 0.774673510337773
"8" "Ntsc1443" "sa" "sex" 0.196396101212393
"9" "Ntsc3921" "BA" "veg" 0.0436435780471985
"10" "Ntsc3921" "BA" "sex" 0.480079358519183
"11" "Ntsc3921" "sa" "veg" 0.185485206700593
"12" "Ntsc3921" "sa" "sex" 0.28368325730679
"13" "Ntsc1442" "BA" "veg" -0.15526475085203
"14" "Ntsc1442" "BA" "sex" -0.335830247129734
"15" "Ntsc1442" "sa" "veg" 0.2518726853473
"16" "Ntsc1442" "sa" "sex" 0.512812042054582
"17" "Ntsc3920" "BA" "veg" 0.534633831078181
"18" "Ntsc3920" "BA" "sex" -0.207095319063336
"19" "Ntsc3920" "sa" "veg" 0.531731224622078
"20" "Ntsc3920" "sa" "sex" 0.414613991448385
"21" "Ntsc3909" "BA" "veg" -0.243975018237133
"22" "Ntsc3909" "BA" "sex" 0.534633831078181
"23" "Ntsc3909" "sa" "veg" -0.403703096936586
"24" "Ntsc3909" "sa" "sex" 0.0654653670707977
"25" "Ntsc3931" "BA" "veg" 0.20149814827784
"26" "Ntsc3931" "BA" "sex" 0
"27" "Ntsc3931" "sa" "veg" 0.57827740912538
"28" "Ntsc3931" "sa" "sex" -0.261861468283191
"29" "Ntsc3919" "BA" "veg" -0.235081172990814
"30" "Ntsc3919" "BA" "sex" -0.29459415181859
"31" "Ntsc3919" "sa" "veg" 0.556455620101781
"32" "Ntsc3919" "sa" "sex" -0.120019839629796
"33" "Ntsc3930" "BA" "veg" -0.327326835353989
"34" "Ntsc3930" "BA" "sex" 0.0981980506061965
"35" "Ntsc3930" "sa" "veg" 0.109108945117996
"36" "Ntsc3930" "sa" "sex" 0.240039679259592
"37" "Ntsc1441" "BA" "veg" 0.28368325730679
"38" "Ntsc1441" "BA" "sex" 0.501901147542782
"39" "Ntsc1441" "sa" "veg" -0.29459415181859
"40" "Ntsc1441" "sa" "sex" 0.0763762615825973
"41" "Ntsc3908" "BA" "veg" 0.35262175948622
"42" "Ntsc3908" "BA" "sex" -0.545544725589981
"43" "Ntsc3908" "sa" "veg" -0.971069611550166
"44" "Ntsc3908" "sa" "sex" -0.490990253030983
"45" "Ntsc3929" "BA" "veg" -0.840138877408571
"46" "Ntsc3929" "BA" "sex" 0.698297248755175
"47" "Ntsc3929" "sa" "veg" -0.338237729865788
"48" "Ntsc3929" "sa" "sex" 0.774673510337773
"49" "Ntsc3918" "BA" "veg" 0.676475459731576
"50" "Ntsc3918" "BA" "sex" -0.327326835353989
"51" "Ntsc3918" "sa" "veg" 0.676475459731576
"52" "Ntsc3918" "sa" "sex" 0.0111943415709911
"53" "Ntsc3917" "BA" "veg" 0.391801954984689
"54" "Ntsc3917" "BA" "sex" 0.755618056041901
"55" "Ntsc3917" "sa" "veg" 0.545544725589981
"56" "Ntsc3917" "sa" "sex" 0.687386354243376
"57" "Ntsc1438" "BA" "veg" -0.643742776196177
"58" "Ntsc1438" "BA" "sex" -0.676475459731576
"59" "Ntsc1438" "sa" "veg" -0.561142541945407
"60" "Ntsc1438" "sa" "sex" -0.174574312188794
"61" "Ntsc1437" "BA" "veg" 0.710840689757936
"62" "Ntsc1437" "BA" "sex" 0.29459415181859
"63" "Ntsc1437" "sa" "veg" -0.0436435780471985
"64" "Ntsc1437" "sa" "sex" -0.163663417676994
"65" "Ntsc3928" "BA" "veg" 0.316415940842189
"66" "Ntsc3928" "BA" "sex" 0.916515138991168
"67" "Ntsc3928" "sa" "veg" 0.688452006615954
"68" "Ntsc3928" "sa" "sex" 0.570911420120547
"69" "Ntsc3916" "BA" "veg" -0.163663417676994
"70" "Ntsc3916" "BA" "sex" 0.139929269637389
"71" "Ntsc3916" "sa" "veg" 0.0727632202114423
"72" "Ntsc3916" "sa" "sex" -0.196396101212393
"73" "Ntsc1440" "BA" "veg" -0.774673510337773
"74" "Ntsc1440" "BA" "sex" -0.190303806706849
"75" "Ntsc1440" "sa" "veg" -0.120019839629796
"76" "Ntsc1440" "sa" "sex" -0.163663417676994
"77" "Ntsc3927" "BA" "veg" 0.32936627462013
"78" "Ntsc3927" "BA" "sex" -0.327326835353989
"79" "Ntsc3927" "sa" "veg" 0.475759516767123
"80" "Ntsc3927" "sa" "sex" 0.392792202424786
"81" "Ntsc3935" "BA" "veg" -0.424334212395753
"82" "Ntsc3935" "BA" "sex" 0.671660494259467
"83" "Ntsc3935" "sa" "veg" 0.436579321268654
"84" "Ntsc3935" "sa" "sex" 0.789201080754874
"85" "Ntsc3926" "BA" "veg" NA
"86" "Ntsc3926" "BA" "sex" NA
"87" "Ntsc3926" "sa" "veg" NA
