GO_term	Sampletype	Value
endoplasmic.reticulum	sample_BA_veg	0.0122149347130692
endoplasmic.reticulum	sample_BA_sex	0.00120235102828933
endoplasmic.reticulum	sample_sa_veg	0.0442416277833617
endoplasmic.reticulum	sample_sa_sex	0.0943895663803093
nucleus	sample_BA_veg	-0.0133065494013155
nucleus	sample_BA_sex	-0.0664798079933653
nucleus	sample_sa_veg	-0.0709640189166104
nucleus	sample_sa_sex	0.0278386611736962
mitochondrion	sample_BA_veg	-0.0315347544052467
mitochondrion	sample_BA_sex	-0.0213580042308224
mitochondrion	sample_sa_veg	-0.0136036351982353
mitochondrion	sample_sa_sex	-0.0202794899829095
mitochondrial.inner.membrane	sample_BA_veg	-0.281743263525499
mitochondrial.inner.membrane	sample_BA_sex	-0.132532632471452
mitochondrial.inner.membrane	sample_sa_veg	-0.19803634972459
mitochondrial.inner.membrane	sample_sa_sex	-0.180401931737123
sporocarp.development.involved.in.sexual.reproduction	sample_BA_veg	NA
sporocarp.development.involved.in.sexual.reproduction	sample_BA_sex	NA
sporocarp.development.involved.in.sexual.reproduction	sample_sa_veg	NA
sporocarp.development.involved.in.sexual.reproduction	sample_sa_sex	NA
heterotrimeric.G.protein.complex	sample_BA_veg	0.243582893538361
heterotrimeric.G.protein.complex	sample_BA_sex	0.0480867189632343
heterotrimeric.G.protein.complex	sample_sa_veg	-0.055062434488879
heterotrimeric.G.protein.complex	sample_sa_sex	0.271930286389156
DNA.damage.checkpoint	sample_BA_veg	0.285869179921312
DNA.damage.checkpoint	sample_BA_sex	0.254102930586464
DNA.damage.checkpoint	sample_sa_veg	0.202312602715597
DNA.damage.checkpoint	sample_sa_sex	0.15374385412185
DNA.methylation	sample_BA_veg	0.160712750158112
DNA.methylation	sample_BA_sex	0.123940970723563
DNA.methylation	sample_sa_veg	0.190367021514294
DNA.methylation	sample_sa_sex	0.122598422140963
protein.dephosphorylation	sample_BA_veg	0.398327032350211
protein.dephosphorylation	sample_BA_sex	0.631081841308839
protein.dephosphorylation	sample_sa_veg	0.503718906195812
protein.dephosphorylation	sample_sa_sex	0.486109575910496
hyphal.growth	sample_BA_veg	NA
hyphal.growth	sample_BA_sex	NA
hyphal.growth	sample_sa_veg	NA
hyphal.growth	sample_sa_sex	NA
regulation.of.circadian.rhythm	sample_BA_veg	-0.0954064490860475
regulation.of.circadian.rhythm	sample_BA_sex	0.120630114831478
regulation.of.circadian.rhythm	sample_sa_veg	-0.00891711094658545
regulation.of.circadian.rhythm	sample_sa_sex	0.0253110497407259
conidium.formation	sample_BA_veg	NA
conidium.formation	sample_BA_sex	NA
conidium.formation	sample_sa_veg	NA
conidium.formation	sample_sa_sex	NA
cytoplasm	sample_BA_veg	-0.0173089094032676
cytoplasm	sample_BA_sex	-0.0188154590383584
cytoplasm	sample_sa_veg	-0.0327146295819859
cytoplasm	sample_sa_sex	0.0054438092119197
cytosol	sample_BA_veg	-0.00965255602480793
cytosol	sample_BA_sex	-0.0687120972268923
cytosol	sample_sa_veg	0.0912608362538334
cytosol	sample_sa_sex	0.0107257385593826
