GO_term	Sampletype	Value
endoplasmic.reticulum	sample_BA_veg	0.0351870008434904
endoplasmic.reticulum	sample_BA_sex	-0.0426734357083763
endoplasmic.reticulum	sample_sa_veg	-0.00838272815468356
endoplasmic.reticulum	sample_sa_sex	0.0355794564451152
nucleus	sample_BA_veg	-0.022311149991043
nucleus	sample_BA_sex	-0.0616936650865753
nucleus	sample_sa_veg	-0.0507643474830351
nucleus	sample_sa_sex	0.0017251713674429
mitochondrion	sample_BA_veg	-0.0188614859252512
mitochondrion	sample_BA_sex	-0.0247984813251509
mitochondrion	sample_sa_veg	-0.00657985513783975
mitochondrion	sample_sa_sex	0.0074354398127496
mitochondrial.inner.membrane	sample_BA_veg	-0.246415268043266
mitochondrial.inner.membrane	sample_BA_sex	-0.077063537045255
mitochondrial.inner.membrane	sample_sa_veg	-0.143928463907584
mitochondrial.inner.membrane	sample_sa_sex	-0.0589383919432699
sporocarp.development.involved.in.sexual.reproduction	sample_BA_veg	NA
sporocarp.development.involved.in.sexual.reproduction	sample_BA_sex	NA
sporocarp.development.involved.in.sexual.reproduction	sample_sa_veg	NA
sporocarp.development.involved.in.sexual.reproduction	sample_sa_sex	NA
heterotrimeric.G.protein.complex	sample_BA_veg	0.238985055763926
heterotrimeric.G.protein.complex	sample_BA_sex	0.0951455978592193
heterotrimeric.G.protein.complex	sample_sa_veg	0.0972259059824399
heterotrimeric.G.protein.complex	sample_sa_sex	0.360744682734844
DNA.damage.checkpoint	sample_BA_veg	0.380058102473957
DNA.damage.checkpoint	sample_BA_sex	0.215302670465589
DNA.damage.checkpoint	sample_sa_veg	0.0947944746352847
DNA.damage.checkpoint	sample_sa_sex	0.22232839385308
DNA.methylation	sample_BA_veg	0.0832322002375239
DNA.methylation	sample_BA_sex	-0.0399984377523266
DNA.methylation	sample_sa_veg	0.115665368048972
DNA.methylation	sample_sa_sex	0.0443701543825527
protein.dephosphorylation	sample_BA_veg	0.407887150663254
protein.dephosphorylation	sample_BA_sex	0.601113343007219
protein.dephosphorylation	sample_sa_veg	0.483549257321908
protein.dephosphorylation	sample_sa_sex	0.514980008162665
hyphal.growth	sample_BA_veg	NA
hyphal.growth	sample_BA_sex	NA
hyphal.growth	sample_sa_veg	NA
hyphal.growth	sample_sa_sex	NA
regulation.of.circadian.rhythm	sample_BA_veg	-0.0144815043898853
regulation.of.circadian.rhythm	sample_BA_sex	0.149001867005585
regulation.of.circadian.rhythm	sample_sa_veg	0.0271314284424567
regulation.of.circadian.rhythm	sample_sa_sex	0.0897513033240028
conidium.formation	sample_BA_veg	NA
conidium.formation	sample_BA_sex	NA
conidium.formation	sample_sa_veg	NA
conidium.formation	sample_sa_sex	NA
cytoplasm	sample_BA_veg	-0.0485559699025076
cytoplasm	sample_BA_sex	-0.0548321391062628
cytoplasm	sample_sa_veg	-0.101612928563192
cytoplasm	sample_sa_sex	-0.00150787407494889
cytosol	sample_BA_veg	-0.0205350585734984
cytosol	sample_BA_sex	-0.100911727414421
cytosol	sample_sa_veg	0.0569056509502935
cytosol	sample_sa_sex	0.00850990714263108
regulation.of.growth.rate	sample_BA_veg	0.0150492676285976
regulation.of.growth.rate	sample_BA_sex	-0.183699739689338
regulation.of.growth.rate	sample_sa_veg	0.0703879632376041
regulation.of.growth.rate	sample_sa_sex	-0.024424259670678
translation	sample_BA_veg	-0.0590271445051604
translation	sample_BA_sex	-0.127771125946278
translation	sample_sa_veg	-0.113243496420624
translation	sample_sa_sex	-0.18225339287975
mitochondrial.ribosome	sample_BA_veg	-7.56277025190538e-05
mitochondrial.ribosome	sample_BA_sex	-0.0434243563532244
mitochondrial.ribosome	sample_sa_veg	-0.0768220579037641
mitochondrial.ribosome	sample_sa_sex	-0.138337566855521
mitochondrial.large.ribosomal.subunit	sample_BA_veg	0.160219888005567
mitochondrial.large.ribosomal.subunit	sample_BA_sex	-0.0985017429639315
mitochondrial.large.ribosomal.subunit	sample_sa_veg	0.09767889090317
mitochondrial.large.ribosomal.subunit	sample_sa_sex	-0.0362871525259823
structural.constituent.of.ribosome	sample_BA_veg	-0.0717210217608177
structural.constituent.of.ribosome	sample_BA_sex	-0.141064184751005
structural.constituent.of.ribosome	sample_sa_veg	-0.137073586180355
structural.constituent.of.ribosome	sample_sa_sex	-0.193074017561746
rRNA.processing	sample_BA_veg	0.000443382931184056
rRNA.processing	sample_BA_sex	0.186750492084164
rRNA.processing	sample_sa_veg	0.080674300105316
rRNA.processing	sample_sa_sex	-0.109940998902626
ribosomal.large.subunit.biogenesis	sample_BA_veg	-0.263545348690926
ribosomal.large.subunit.biogenesis	sample_BA_sex	0.0569479746761882
ribosomal.large.subunit.biogenesis	sample_sa_veg	-0.0471768648957115
ribosomal.large.subunit.biogenesis	sample_sa_sex	-0.202914754247139
nucleolus	sample_BA_veg	-0.0998141837173893
nucleolus	sample_BA_sex	0.169265689678838
nucleolus	sample_sa_veg	-0.0749604396709396
nucleolus	sample_sa_sex	-0.0460094502066286
cytosolic.large.ribosomal.subunit	sample_BA_veg	-0.0276444595118495
cytosolic.large.ribosomal.subunit	sample_BA_sex	-0.215829083398648
cytosolic.large.ribosomal.subunit	sample_sa_veg	-0.145200720343511
cytosolic.large.ribosomal.subunit	sample_sa_sex	-0.223078140473471
response.to.light.stimulus	sample_BA_veg	NA
response.to.light.stimulus	sample_BA_sex	NA
response.to.light.stimulus	sample_sa_veg	NA
response.to.light.stimulus	sample_sa_sex	NA
ribosome	sample_BA_veg	-0.176005927571968
ribosome	sample_BA_sex	-0.12993505479048
ribosome	sample_sa_veg	-0.106493932473371
ribosome	sample_sa_sex	-0.144443859918168
DNA.repair	sample_BA_veg	-0.0406784578956413
DNA.repair	sample_BA_sex	-0.355738815925595
DNA.repair	sample_sa_veg	0.0494941032954643
DNA.repair	sample_sa_sex	-0.164078676472545
protein.binding	sample_BA_veg	0.126917588984516
protein.binding	sample_BA_sex	0.0180943692053895
protein.binding	sample_sa_veg	0.0373826062629272
protein.binding	sample_sa_sex	0.0582734086805122
spore.germination	sample_BA_veg	0.167204329195716
spore.germination	sample_BA_sex	0.047385129048826
spore.germination	sample_sa_veg	-0.0253012288512735
spore.germination	sample_sa_sex	0.0357356509346605
mitochondrial.membrane	sample_BA_veg	-0.0193909629733491
mitochondrial.membrane	sample_BA_sex	0.0449307078665935
mitochondrial.membrane	sample_sa_veg	-0.0101268378905549
mitochondrial.membrane	sample_sa_sex	0.062472295038547
response.to.osmotic.stress	sample_BA_veg	-0.122947116116719
response.to.osmotic.stress	sample_BA_sex	0.0729038734734705
response.to.osmotic.stress	sample_sa_veg	-0.0341423266747593
response.to.osmotic.stress	sample_sa_sex	-0.0148614706891492
response.to.salt.stress	sample_BA_veg	0.0266553086462572
response.to.salt.stress	sample_BA_sex	0.334219685246456
response.to.salt.stress	sample_sa_veg	0.044823381503968
response.to.salt.stress	sample_sa_sex	0.355313588362435
ascospore.formation	sample_BA_veg	NA
ascospore.formation	sample_BA_sex	NA
ascospore.formation	sample_sa_veg	NA
ascospore.formation	sample_sa_sex	NA
conidiophore.development	sample_BA_veg	NA
conidiophore.development	sample_BA_sex	NA
conidiophore.development	sample_sa_veg	NA
conidiophore.development	sample_sa_sex	NA
mitochondrial.intermembrane.space	sample_BA_veg	-0.219676238284112
mitochondrial.intermembrane.space	sample_BA_sex	0.0683995400864436
mitochondrial.intermembrane.space	sample_sa_veg	-0.00149775257683353
mitochondrial.intermembrane.space	sample_sa_sex	-0.127970814985669
actin.filament.organization	sample_BA_veg	-0.0332984843085067
actin.filament.organization	sample_BA_sex	-0.0473949155560146
actin.filament.organization	sample_sa_veg	0.221132726976031
actin.filament.organization	sample_sa_sex	0.194386518056181
chromatin.silencing.at.telomere	sample_BA_veg	-0.182639096457941
chromatin.silencing.at.telomere	sample_BA_sex	-0.126896091383727
chromatin.silencing.at.telomere	sample_sa_veg	0.0919387752882801
chromatin.silencing.at.telomere	sample_sa_sex	-0.107612565707169
nuclear.mRNA.splicing..via.spliceosome	sample_BA_veg	-0.211969770228085
nuclear.mRNA.splicing..via.spliceosome	sample_BA_sex	-0.437187502251336
nuclear.mRNA.splicing..via.spliceosome	sample_sa_veg	-0.371692104563506
nuclear.mRNA.splicing..via.spliceosome	sample_sa_sex	-0.509038902443213
mitochondrial.outer.membrane	sample_BA_veg	-0.000787188868825738
mitochondrial.outer.membrane	sample_BA_sex	-0.0389912525962447
mitochondrial.outer.membrane	sample_sa_veg	-0.0313676091457674
mitochondrial.outer.membrane	sample_sa_sex	0.0218498820166099
cytosolic.small.ribosomal.subunit	sample_BA_veg	0.310380731082233
cytosolic.small.ribosomal.subunit	sample_BA_sex	0.0290917759386387
cytosolic.small.ribosomal.subunit	sample_sa_veg	0.117746620994166
cytosolic.small.ribosomal.subunit	sample_sa_sex	-0.05166644904764
glyoxysome	sample_BA_veg	-0.0978784414645134
glyoxysome	sample_BA_sex	-0.104133212011822
glyoxysome	sample_sa_veg	-0.064348357274661
glyoxysome	sample_sa_sex	-0.0318484262361911
sequence.specific.DNA.binding.transcription.factor.activity	sample_BA_veg	0.499103872469519
sequence.specific.DNA.binding.transcription.factor.activity	sample_BA_sex	0.282928098697666
sequence.specific.DNA.binding.transcription.factor.activity	sample_sa_veg	0.22627702852987
sequence.specific.DNA.binding.transcription.factor.activity	sample_sa_sex	0.300522304030525
sequence.specific.DNA.binding	sample_BA_veg	0.364096568537346
sequence.specific.DNA.binding	sample_BA_sex	0.237114834284317
sequence.specific.DNA.binding	sample_sa_veg	0.364647394274724
sequence.specific.DNA.binding	sample_sa_sex	0.343108113203918
response.to.oxidative.stress	sample_BA_veg	-0.00897381385337019
response.to.oxidative.stress	sample_BA_sex	-0.00286555525949356
response.to.oxidative.stress	sample_sa_veg	-0.0529085388635946
response.to.oxidative.stress	sample_sa_sex	0.0335171028501333
hyphal.cell.wall	sample_BA_veg	-0.410911162993904
hyphal.cell.wall	sample_BA_sex	0.00717885643039028
hyphal.cell.wall	sample_sa_veg	-0.486895284387493
