GO_term	Sampletype	Value
endoplasmic.reticulum	sample_BA_veg	0.0309611221431785
endoplasmic.reticulum	sample_BA_sex	-0.0242961924117737
endoplasmic.reticulum	sample_sa_veg	-0.00334979791356248
endoplasmic.reticulum	sample_sa_sex	0.0300695577982392
nucleus	sample_BA_veg	-0.0178580131975
nucleus	sample_BA_sex	-0.061396152857259
nucleus	sample_sa_veg	-0.0389126538859699
nucleus	sample_sa_sex	0.00750910234580786
mitochondrion	sample_BA_veg	-0.0147181290015136
mitochondrion	sample_BA_sex	-0.0307755012854045
mitochondrion	sample_sa_veg	-0.00764785040332031
mitochondrion	sample_sa_sex	0.000971821971651234
mitochondrial.inner.membrane	sample_BA_veg	-0.235811322649356
mitochondrial.inner.membrane	sample_BA_sex	-0.0884025877030717
mitochondrial.inner.membrane	sample_sa_veg	-0.115967424839804
mitochondrial.inner.membrane	sample_sa_sex	-0.0597746759652239
sporocarp.development.involved.in.sexual.reproduction	sample_BA_veg	NA
sporocarp.development.involved.in.sexual.reproduction	sample_BA_sex	NA
sporocarp.development.involved.in.sexual.reproduction	sample_sa_veg	NA
sporocarp.development.involved.in.sexual.reproduction	sample_sa_sex	NA
heterotrimeric.G.protein.complex	sample_BA_veg	0.393589746102052
heterotrimeric.G.protein.complex	sample_BA_sex	0.0981398727249441
heterotrimeric.G.protein.complex	sample_sa_veg	0.128739956598051
heterotrimeric.G.protein.complex	sample_sa_sex	0.383430484955026
DNA.damage.checkpoint	sample_BA_veg	0.388408553413357
DNA.damage.checkpoint	sample_BA_sex	0.183598595915042
DNA.damage.checkpoint	sample_sa_veg	0.0781564376777152
DNA.damage.checkpoint	sample_sa_sex	0.234455847411817
DNA.methylation	sample_BA_veg	0.128441008973336
DNA.methylation	sample_BA_sex	0.02584700782152
DNA.methylation	sample_sa_veg	0.243238038148214
DNA.methylation	sample_sa_sex	0.142092685967669
protein.dephosphorylation	sample_BA_veg	0.373134858045808
protein.dephosphorylation	sample_BA_sex	0.57786300949863
protein.dephosphorylation	sample_sa_veg	0.453902272891457
protein.dephosphorylation	sample_sa_sex	0.47109101744173
hyphal.growth	sample_BA_veg	NA
hyphal.growth	sample_BA_sex	NA
hyphal.growth	sample_sa_veg	NA
hyphal.growth	sample_sa_sex	NA
regulation.of.circadian.rhythm	sample_BA_veg	-0.00958408571045685
regulation.of.circadian.rhythm	sample_BA_sex	0.169323865700204
regulation.of.circadian.rhythm	sample_sa_veg	0.0397089756037249
regulation.of.circadian.rhythm	sample_sa_sex	0.0924658237167382
conidium.formation	sample_BA_veg	NA
conidium.formation	sample_BA_sex	NA
conidium.formation	sample_sa_veg	NA
conidium.formation	sample_sa_sex	NA
cytoplasm	sample_BA_veg	-0.0496333260864571
cytoplasm	sample_BA_sex	-0.0574462111603696
cytoplasm	sample_sa_veg	-0.107297100220328
cytoplasm	sample_sa_sex	-0.00608483192055846
cytosol	sample_BA_veg	-0.0268916857490305
cytosol	sample_BA_sex	-0.0913615252287572
cytosol	sample_sa_veg	0.0479024083239063
cytosol	sample_sa_sex	0.00594769175038805
regulation.of.growth.rate	sample_BA_veg	0.0297485047871515
regulation.of.growth.rate	sample_BA_sex	-0.156288672559017
regulation.of.growth.rate	sample_sa_veg	0.0928520611355987
regulation.of.growth.rate	sample_sa_sex	0.00273151232354702
translation	sample_BA_veg	-0.0610817482362824
translation	sample_BA_sex	-0.13911641612655
translation	sample_sa_veg	-0.112702386290391
translation	sample_sa_sex	-0.180117500320612
mitochondrial.ribosome	sample_BA_veg	0.0169414093142195
mitochondrial.ribosome	sample_BA_sex	-0.0318016531064317
mitochondrial.ribosome	sample_sa_veg	-0.0717365598791224
mitochondrial.ribosome	sample_sa_sex	-0.139928084329356
mitochondrial.large.ribosomal.subunit	sample_BA_veg	0.176636311791795
mitochondrial.large.ribosomal.subunit	sample_BA_sex	-0.0862254199563569
mitochondrial.large.ribosomal.subunit	sample_sa_veg	0.120435662633065
mitochondrial.large.ribosomal.subunit	sample_sa_sex	-0.0228578363085914
structural.constituent.of.ribosome	sample_BA_veg	-0.0683973386975121
structural.constituent.of.ribosome	sample_BA_sex	-0.148071696974791
structural.constituent.of.ribosome	sample_sa_veg	-0.132017441143583
structural.constituent.of.ribosome	sample_sa_sex	-0.187250137454412
rRNA.processing	sample_BA_veg	0.00777960265405442
rRNA.processing	sample_BA_sex	0.20700970014261
rRNA.processing	sample_sa_veg	0.0813437131625703
rRNA.processing	sample_sa_sex	-0.0878395117432526
ribosomal.large.subunit.biogenesis	sample_BA_veg	-0.214659952165713
ribosomal.large.subunit.biogenesis	sample_BA_sex	0.101476185191572
ribosomal.large.subunit.biogenesis	sample_sa_veg	0.0446816493876061
ribosomal.large.subunit.biogenesis	sample_sa_sex	-0.147328420727648
nucleolus	sample_BA_veg	-0.0910062055867159
nucleolus	sample_BA_sex	0.170028692303408
nucleolus	sample_sa_veg	-0.0677026354978954
nucleolus	sample_sa_sex	-0.0285429551392881
