"Geneid" "Tissue" "Value" "k_value"
"1" "Ntsc3922" "veg" -0.353786713292286 -6.75658380672392
"2" "Ntsc3922" "sex" 0.15074450984919 3.85132437863326
"3" "Ntsc1443" "veg" 0.613172691975941 5.35305338382516
"4" "Ntsc1443" "sex" 0.500673262746859 12.4312563644741
"5" "Ntsc3921" "veg" 0.133623175005811 7.55608467261724
"6" "Ntsc3921" "sex" 0.438213769183252 7.1652786870106
"7" "Ntsc1442" "veg" -0.051700355890395 -0.258809051628504
"8" "Ntsc1442" "sex" -0.0229869683349445 -0.206125320015086
"9" "Ntsc3920" "veg" 0.415930353270461 13.4764603682855
"10" "Ntsc3920" "sex" 0.125865332495693 5.89427060149873
"11" "Ntsc3909" "veg" -0.236571971642943 -2.57024514047541
"12" "Ntsc3909" "sex" -0.00763419190397584 -0.0456475474226829
"13" "Ntsc3931" "veg" 0.421408864032808 5.70013847308898
"14" "Ntsc3931" "sex" 0.185558842776875 2.1436525916026
"15" "Ntsc3919" "veg" 0.160327778793848 3.90940768767118
"16" "Ntsc3919" "sex" -0.158046281119453 -6.36113497289054
"17" "Ntsc3930" "veg" -0.250252777826599 -2.03704091134113
"18" "Ntsc3930" "sex" 0.189016085222737 2.4351230942741
"19" "Ntsc1441" "veg" -0.11752242796399 -1.29679633248067
"20" "Ntsc1441" "sex" 0.332597246063145 7.70742678375754
"21" "Ntsc3908" "veg" -0.510753722446446 -32.9895503980674
"22" "Ntsc3908" "sex" -0.47080831034781 -12.537555561407
"23" "Ntsc3929" "veg" -0.237963482085291 -0.967755408968924
"24" "Ntsc3929" "sex" 0.826953797835147 3.71591281108568
"25" "Ntsc3918" "veg" 0.6350183600129 3.3619878497751
"26" "Ntsc3918" "sex" -0.087468661853099 -0.199489401679132
"27" "Ntsc3917" "veg" 0.426694502478177 4.25290714876736
"28" "Ntsc3917" "sex" 0.453384334806309 8.23060614446148
"29" "Ntsc1438" "veg" -0.505797845108778 -2.26395562789322
"30" "Ntsc1438" "sex" -0.465912974337711 -3.00222081610849
"31" "Ntsc1437" "veg" 0.38503647474191 2.5991776235453
"32" "Ntsc1437" "sex" 0.155235337948893 1.98964826174718
"33" "Ntsc3928" "veg" 0.461398975755181 17.1087745136796
"34" "Ntsc3928" "sex" 0.545659348007541 5.13968004562676
"35" "Ntsc3916" "veg" -0.0432327105409883 -0.278331492309084
"36" "Ntsc3916" "sex" -0.101952013489123 -0.300858732658242
"37" "Ntsc1440" "veg" -0.515313604583885 -4.20243561751095
"38" "Ntsc1440" "sex" -0.176530701969318 -1.41869853982354
"39" "Ntsc3927" "veg" 0.473034401999929 3.38305845278144
"40" "Ntsc3927" "sex" -0.076053171210281 -2.20893929663128
"41" "Ntsc3935" "veg" 0.266903126060281 0.0576940403295498
"42" "Ntsc3935" "sex" 0.679925859317901 0.667545424874568
"43" "Ntsc3926" "veg" NA NA
"44" "Ntsc3926" "sex" NA NA
"45" "Ntsc1436" "veg" 0.111442017412125 0.986482262764486
"46" "Ntsc1436" "sex" -0.343885687594572 -3.84847522459518
"47" "Ntsc7887" "veg" 0.325016555739432 0.0226716597261883
"48" "Ntsc7887" "sex" 0.129399956291708 0.0135792745964736
