"Geneid" "Allel" "Tissue" "Value" "k_value"
"1" "Ntsc3922" "BA" "veg" -0.66688592885535 -10.5624579833335
"2" "Ntsc3922" "BA" "sex" 0.4 6.7352785189953
"3" "Ntsc3922" "sa" "veg" -0.1 -4.47490692610406
"4" "Ntsc3922" "sa" "sex" 0.1 -3.97312953903608
"5" "Ntsc1443" "BA" "veg" 0.410391340834062 1.92833583368537
"6" "Ntsc1443" "BA" "sex" 0.7 13.0180018027238
"7" "Ntsc1443" "sa" "veg" 1 4.90790786920147
"8" "Ntsc1443" "sa" "sex" 0.1 12.0083199895772
"9" "Ntsc3921" "BA" "veg" -0.205195670417031 -9.18026613719376
"10" "Ntsc3921" "BA" "sex" 0.6 21.502963332603
"11" "Ntsc3921" "sa" "veg" 0.1 15.1875123137237
"12" "Ntsc3921" "sa" "sex" 0.6 6.63453768047253
"13" "Ntsc1442" "BA" "veg" -0.210818510677892 -1.61150964113226
"14" "Ntsc1442" "BA" "sex" 0.102597835208515 -4.68890382641557
"15" "Ntsc1442" "sa" "veg" 0.615587011251092 1.75440675274308
"16" "Ntsc1442" "sa" "sex" 0.153896752812773 0.849363603529047
"17" "Ntsc3920" "BA" "veg" 0.7 11.0581314816389
"18" "Ntsc3920" "BA" "sex" -0.153896752812773 -7.05279886693101
"19" "Ntsc3920" "sa" "veg" -0.102597835208515 2.25320614481007
"20" "Ntsc3920" "sa" "sex" 0.6 21.5788624031337
"21" "Ntsc3909" "BA" "veg" -0.461690258438319 -2.96117158934136
"22" "Ntsc3909" "BA" "sex" 0.66688592885535 5.13130694362199
"23" "Ntsc3909" "sa" "veg" -0.6 -5.82355154348795
"24" "Ntsc3909" "sa" "sex" -0.3 -0.909275545860103
"25" "Ntsc3931" "BA" "veg" 0.205195670417031 4.49932453905796
"26" "Ntsc3931" "BA" "sex" -0.102597835208515 4.22886606748155
"27" "Ntsc3931" "sa" "veg" 0.8 4.66832624518616
"28" "Ntsc3931" "sa" "sex" -0.4 -1.99542380759792
"29" "Ntsc3919" "BA" "veg" -0.461690258438319 -3.82639528154407
"30" "Ntsc3919" "BA" "sex" -0.1 -8.30893564582984
"31" "Ntsc3919" "sa" "veg" 0.6 3.81496050532278
"32" "Ntsc3919" "sa" "sex" -0.3 -1.51844985116853
"33" "Ntsc3930" "BA" "veg" -0.4 -7.03515987449853
"34" "Ntsc3930" "BA" "sex" 0.1 1.69570182920385
"35" "Ntsc3930" "sa" "veg" 0.3 1.15620648011221
"36" "Ntsc3930" "sa" "sex" 0.3 4.36317112516341
"37" "Ntsc1441" "BA" "veg" 0.5 1.02002240264452
"38" "Ntsc1441" "BA" "sex" 0.8 9.88747014758662
"39" "Ntsc1441" "sa" "veg" -0.1 -1.67897864405726
"40" "Ntsc1441" "sa" "sex" 0 4.83358369056182
"41" "Ntsc3908" "BA" "veg" 0.359092423229804 66.9414717797439
"42" "Ntsc3908" "BA" "sex" -0.6 -10.5236422059009
"43" "Ntsc3908" "sa" "veg" -1 -44.1833598771663
"44" "Ntsc3908" "sa" "sex" -0.6 -16.3003898457182
"45" "Ntsc3929" "BA" "veg" -0.9 -6.86100705518312
"46" "Ntsc3929" "BA" "sex" 0.7 3.29674202901601
"47" "Ntsc3929" "sa" "veg" -1 -2.7315566370903
"48" "Ntsc3929" "sa" "sex" 0.8 3.8301686283952
"49" "Ntsc3918" "BA" "veg" 0.307793505625546 7.96403649448769
"50" "Ntsc3918" "BA" "sex" -0.4 -0.175017796416591
"51" "Ntsc3918" "sa" "veg" 0.5 0.89302059894992
"52" "Ntsc3918" "sa" "sex" 0 -0.286374298300629
"53" "Ntsc3917" "BA" "veg" 0.1 3.41606941087349
"54" "Ntsc3917" "BA" "sex" 0.820782681668123 31.9859395127372
"55" "Ntsc3917" "sa" "veg" 0.6 5.16948690711742
"56" "Ntsc3917" "sa" "sex" 0.564288093646835 9.95082871756447
"57" "Ntsc1438" "BA" "veg" -0.7 -1.92033331515524
"58" "Ntsc1438" "BA" "sex" -0.7 -4.15759719653672
"59" "Ntsc1438" "sa" "veg" -0.447213595499958 -4.16225238646378
"60" "Ntsc1438" "sa" "sex" -0.5 -2.58113880910045
"61" "Ntsc1437" "BA" "veg" 0.66688592885535 7.27094559105587
"62" "Ntsc1437" "BA" "sex" 0.564288093646835 7.07326851995933
"63" "Ntsc1437" "sa" "veg" 0.359092423229804 2.56582434991708
"64" "Ntsc1437" "sa" "sex" -0.3 -0.922937578363054
"65" "Ntsc3928" "BA" "veg" 0.1 13.0656031449422
"66" "Ntsc3928" "BA" "sex" 1 10.0106671593419
"67" "Ntsc3928" "sa" "veg" 0.66688592885535 37.3826852397975
"68" "Ntsc3928" "sa" "sex" 0.66688592885535 3.2389813534245
"69" "Ntsc3916" "BA" "veg" -0.2 -0.690273206489029
"70" "Ntsc3916" "BA" "sex" 0.307793505625546 0.358621648694354
"71" "Ntsc3916" "sa" "veg" 0.205195670417031 -0.234035831625947
"72" "Ntsc3916" "sa" "sex" 0 -0.385179844257069
"73" "Ntsc1440" "BA" "veg" -0.8 -6.82886658247812
"74" "Ntsc1440" "BA" "sex" -0.153896752812773 -0.354141348292886
"75" "Ntsc1440" "sa" "veg" 0.1 -2.47330410885418
"76" "Ntsc1440" "sa" "sex" -0.1 -0.363472136411614
"77" "Ntsc3927" "BA" "veg" 0.447213595499958 3.71571138125675
"78" "Ntsc3927" "BA" "sex" -0.6 -6.85990023763381
"79" "Ntsc3927" "sa" "veg" 0.872081599272381 4.37085537123403
"80" "Ntsc3927" "sa" "sex" 0.7 15.675657924468
"81" "Ntsc3935" "BA" "veg" -0.707106781186547 -0.0594566014620822
"82" "Ntsc3935" "BA" "sex" 0.615587011251092 1.12395200423073
"83" "Ntsc3935" "sa" "veg" 0.205195670417031 0.0795514088893989
"84" "Ntsc3935" "sa" "sex" 0.718184846459608 0.259361997590889
"85" "Ntsc3926" "BA" "veg" NA NA
"86" "Ntsc3926" "BA" "sex" NA NA
"87" "Ntsc3926" "sa" "veg" NA NA
"88" "Ntsc3926" "sa" "sex" NA NA
"89" "Ntsc1436" "BA" "veg" -0.153896752812773 -2.03875955168806
"90" "Ntsc1436" "BA" "sex" -0.7 -11.3964603391269
"91" "Ntsc1436" "sa" "veg" 0.872081599272381 4.28789903673498
"92" "Ntsc1436" "sa" "sex" 0.1 -1.00699852923818
"93" "Ntsc7887" "BA" "veg" 0.205195670417031 0.007935538533579
"94" "Ntsc7887" "BA" "sex" 0.2 0.00739074653809335
"95" "Ntsc7887" "sa" "veg" 0.410391340834062 -0.000577044874435614
"96" "Ntsc7887" "sa" "sex" 0.790569415042095 0.0927285505001696
"97" "Ntsc3934" "BA" "veg" 0.111803398874989 0.00630227514837087
"98" "Ntsc3934" "BA" "sex" 0.670820393249937 0.0441673463672397
"99" "Ntsc3934" "sa" "veg" -0.316227766016838 -0.00787759712950712
"100" "Ntsc3934" "sa" "sex" 0.359092423229804 0.0074594354385236
"101" "Ntsc3925" "BA" "veg" 0.153896752812773 1.01640003343818
"102" "Ntsc3925" "BA" "sex" -0.410391340834062 -12.1390924929993
"103" "Ntsc3925" "sa" "veg" -0.6 -2.86239214486275
"104" "Ntsc3925" "sa" "sex" -0.153896752812773 -1.86435743549243
"105" "Ntsc3933" "BA" "veg" 0.4 -0.606935399211891
"106" "Ntsc3933" "BA" "sex" -0.1 -3.8482226746288
"107" "Ntsc3933" "sa" "veg" 0.447213595499958 0.0613910735253204
"108" "Ntsc3933" "sa" "sex" 0.66688592885535 3.04038356419339
"109" "Ntsc7886" "BA" "veg" 0.205195670417031 -0.00192651254637655
"110" "Ntsc7886" "BA" "sex" 0 -0.000874134579215211
"111" "Ntsc7886" "sa" "veg" 0 0.00146198204796836
"112" "Ntsc7886" "sa" "sex" 0.359092423229804 0.00902032518811722
"113" "Ntsc3924" "BA" "veg" 0.1 2.67337303480843
"114" "Ntsc3924" "BA" "sex" -0.2 -14.415339335036
"115" "Ntsc3924" "sa" "veg" -0.9 -14.4622729615757
"116" "Ntsc3924" "sa" "sex" -0.3 1.95966273158112
"117" "Ntsc1447" "BA" "veg" 0.410391340834062 0.00575761401847538
"118" "Ntsc1447" "BA" "sex" -0.359092423229804 -0.10362795587368
