"Geneid" "Allel" "Tissue" "Value" "k_value"
"1" "Ntsc3922" "BA" "veg" -0.607868923062222 -10.5624579833335
"2" "Ntsc3922" "BA" "sex" 0.304066023069595 6.7352785189953
"3" "Ntsc3922" "sa" "veg" -0.232994254751445 -4.47490692610406
"4" "Ntsc3922" "sa" "sex" -0.11640105364556 -3.97312953903608
"5" "Ntsc1443" "BA" "veg" 0.482702718579943 1.92833583368537
"6" "Ntsc1443" "BA" "sex" 0.699014252658115 13.0180018027238
"7" "Ntsc1443" "sa" "veg" 0.926803665404844 4.90790786920147
"8" "Ntsc1443" "sa" "sex" 0.326662901791393 12.0083199895772
"9" "Ntsc3921" "BA" "veg" -0.108403995662644 -9.18026613719376
"10" "Ntsc3921" "BA" "sex" 0.655381162931526 21.502963332603
"11" "Ntsc3921" "sa" "veg" 0.362513148375574 15.1875123137237
"12" "Ntsc3921" "sa" "sex" 0.466614868689029 6.63453768047253
"13" "Ntsc1442" "BA" "veg" -0.327336674048419 -1.61150964113226
"14" "Ntsc1442" "BA" "sex" -0.465953904104055 -4.68890382641557
"15" "Ntsc1442" "sa" "veg" 0.342247744855135 1.75440675274308
"16" "Ntsc1442" "sa" "sex" 0.127767246155715 0.849363603529047
"17" "Ntsc3920" "BA" "veg" 0.352649180021332 11.0581314816389
"18" "Ntsc3920" "BA" "sex" -0.152275342490459 -7.05279886693101
"19" "Ntsc3920" "sa" "veg" 0.0862941558570622 2.25320614481007
"20" "Ntsc3920" "sa" "sex" 0.477316580489072 21.5788624031337
"21" "Ntsc3909" "BA" "veg" -0.186196202578647 -2.96117158934136
"22" "Ntsc3909" "BA" "sex" 0.859048680556902 5.13130694362199
"23" "Ntsc3909" "sa" "veg" -0.889711342583376 -5.82355154348795
"24" "Ntsc3909" "sa" "sex" -0.268680193562371 -0.909275545860103
"25" "Ntsc3931" "BA" "veg" 0.259612984652445 4.49932453905796
"26" "Ntsc3931" "BA" "sex" 0.302714792334212 4.22886606748155
"27" "Ntsc3931" "sa" "veg" 0.677308248625959 4.66832624518616
"28" "Ntsc3931" "sa" "sex" -0.441959113880138 -1.99542380759792
"29" "Ntsc3919" "BA" "veg" -0.176857535668427 -3.82639528154407
"30" "Ntsc3919" "BA" "sex" -0.243092147329188 -8.30893564582984
"31" "Ntsc3919" "sa" "veg" 0.130505105947261 3.81496050532278
"32" "Ntsc3919" "sa" "sex" -0.0303653479941569 -1.51844985116853
"33" "Ntsc3930" "BA" "veg" -0.817718863882709 -7.03515987449853
"34" "Ntsc3930" "BA" "sex" 0.147354491760066 1.69570182920385
"35" "Ntsc3930" "sa" "veg" 0.165972115927312 1.15620648011221
"36" "Ntsc3930" "sa" "sex" 0.278614801375297 4.36317112516341
"37" "Ntsc1441" "BA" "veg" 0.0943902076177754 1.02002240264452
"38" "Ntsc1441" "BA" "sex" 0.558160335537054 9.88747014758662
