$crassa_BA_sex
       Geneid methylation  expression
7    Ntsc1048  0.15189873  6.64283268
77   Ntsc1118  0.12500000  5.83819602
134  Ntsc1175  0.00000000  8.62413580
205  Ntsc1246  0.11111111  2.15093765
293  Ntsc1334  0.14583333  7.48172320
330  Ntsc1371  0.12765957  3.19266171
364  Ntsc1405  0.00000000  8.01491901
385  Ntsc1426  0.00000000  3.69262602
398  Ntsc1439  0.15306122  7.14659469
412  Ntsc1454  0.15384615  1.18611323
414  Ntsc1456  0.12280702  4.76704906
443  Ntsc1485  0.12371134  3.86480817
674  Ntsc1716  0.13043478  0.00000000
705  Ntsc1747  0.06250000 -1.21319400
725  Ntsc1767  0.13888889  9.87485122
734  Ntsc1776  0.08888889  9.80552730
739  Ntsc1781  0.09090909  9.20784785
890  Ntsc1932  0.12000000 -1.77844011
928  Ntsc1970  0.12121212 10.48096692
1010 Ntsc2052  0.14473684  8.17579624
1076 Ntsc2118  0.13333333  6.24438797
1082 Ntsc2124  0.09677419  7.09041969
1124 Ntsc2167  0.13636364  6.81194023
1307 Ntsc2350  0.00000000  2.12815296
1308 Ntsc2351  0.11864407 -0.04598713
1376 Ntsc2419  0.15384615  1.41040148
1433 Ntsc2476  0.10256410  0.00000000
1475 Ntsc2518  0.15555556  1.96563413
1513 Ntsc2556  0.13513514 -0.48258465
1517 Ntsc2560  0.09952607  8.83081949
1531 Ntsc2574  0.15254237  8.19609735
1571 Ntsc2614  0.11538462  3.22074544
1626 Ntsc2669  0.15068493 -1.30420812
1666 Ntsc2709  0.13043478  4.38202405
1690 Ntsc2733  0.09230769  9.10443601
1711 Ntsc2754  0.15625000  1.92184358
1744 Ntsc2787  0.12048193  2.05977529
1949 Ntsc2994  0.15555556  6.12180079
2041 Ntsc3086  0.15254237  3.20509789
2101 Ntsc3146  0.15492958 10.62254633
2104 Ntsc3149  0.15254237  1.46681522
2252 Ntsc3297  0.13548387  9.14623689
2593 Ntsc3638  0.13333333  2.46200707
2664 Ntsc3710  0.00000000  5.67473330
2698 Ntsc3744  0.14117647  9.02986291
2726 Ntsc3772  0.11627907  7.00835428
2781 Ntsc3827  0.13043478  5.65738836
2837 Ntsc3883  0.14285714  2.95600979
2847 Ntsc3893  0.09230769  6.67742135
2972 Ntsc4019  0.14000000  8.37317234
2983 Ntsc4030  0.15503876  8.42865185
3080 Ntsc4127  0.15503876  8.20334928
3168 Ntsc4215  0.15625000  8.90055884
3466 Ntsc4513  0.14062500  6.50828208
3509 Ntsc4556  0.14893617  7.09327330
3663 Ntsc4710  0.15384615 -0.84927098
3712 Ntsc4759  0.10526316 -1.43749471
3728 Ntsc4775  0.14516129  2.29803449
3831 Ntsc4878  0.13157895  8.31069358
3897 Ntsc4944  0.14062500  9.39411613
3982 Ntsc5029  0.14285714  8.63181144
4115 Ntsc5162  0.14792899  7.13681552
4138 Ntsc5185  0.10344828  7.93414673
4144 Ntsc5191  0.10317460 10.66850901
4236 Ntsc5283  0.14814815  9.73045098
4277 Ntsc5325  0.14754098  2.99766249
4301 Ntsc5349  0.15662651  8.82083166
4333 Ntsc5381  0.14960630  9.25225978
4346 Ntsc5394  0.00000000  2.30345299
4362 Ntsc5410  0.15686275  9.66229937
4383 Ntsc5431  0.11881188  6.26324880
4396 Ntsc5444  0.13274336  8.26912741
4404 Ntsc5452  0.12962963  5.00057399
4460 Ntsc5508  0.13043478 -0.51176984
4461 Ntsc5509  0.07644306  8.26283616
4496 Ntsc5544  0.08333333  7.99776542
4608 Ntsc5656  0.14876033  5.78989528
4771 Ntsc5819  0.13333333  4.29219742
4777 Ntsc5825  0.12903226  0.16912927
4778 Ntsc5826  0.14457831  4.51964369
4890 Ntsc5938  0.13461538  1.69598743
4968 Ntsc6016  0.14814815  4.11581628
4990 Ntsc6038  0.09302326  6.91955746
5029 Ntsc6077  0.12500000  1.56132220
5096 Ntsc6144  0.00000000  8.10275792
5105 Ntsc6153  0.14583333  4.01337850
5147 Ntsc6195  0.15517241  8.07479318
5174 Ntsc6222  0.15000000  7.93254170
5264 Ntsc6312  0.14678899 -0.66070340
5420 Ntsc6469  0.15517241  6.03189320
5516 Ntsc6565  0.07865169  7.90036016
5541 Ntsc6591  0.11111111  0.69798183
5546 Ntsc6596  0.10526316  6.82508985
5558 Ntsc6608  0.15000000  2.86577071
5578 Ntsc6629  0.15151515  7.73976969
5623 Ntsc6674  0.15454545  8.81180101
5630 Ntsc6681  0.07142857  1.81411015
5679 Ntsc6730  0.14516129  1.27631557
5696 Ntsc6747  0.10810811  5.96540822
5734 Ntsc6785  0.14159292  9.74279963
5962 Ntsc7013  0.13953488 -2.39915847
5974 Ntsc7025  0.04000000  1.02926243
5991 Ntsc7042  0.12500000  4.76677016
5997 Ntsc7048  0.11538462  5.00049913
6001 Ntsc7052  0.12000000  7.68061710
6054 Ntsc7105  0.10000000 -0.58104369
6064 Ntsc7115  0.06666667  2.26974119
6068 Ntsc7119  0.08333333  0.60725059
6158 Ntsc7209  0.12500000  8.37973268
6178 Ntsc7229  0.13793103  7.30184120
6197 Ntsc7248  0.13422819  8.17991700
6236 Ntsc7287  0.11111111  7.41657378
6250 Ntsc7301  0.07462687  5.65103319
6258 Ntsc7309  0.15454545  6.90174808
6352 Ntsc7404  0.14903846  0.24337843
6358 Ntsc7410  0.10000000  7.55667680
6378 Ntsc7430  0.14634146  2.51544305
6432 Ntsc7484  0.15686275  4.48741931
6433 Ntsc7485  0.13793103  6.06193679
6465 Ntsc7517  0.12643678  0.62340794
6468 Ntsc7520  0.13333333  7.78667303
6513 Ntsc7565  0.15151515 -0.68544992
6536 Ntsc7588  0.12500000  3.50952543
6574 Ntsc7626  0.10743802  7.13218379
6690 Ntsc7743  0.14782609  5.13886987
6715 Ntsc7768  0.13043478  5.99922495
6730 Ntsc7783  0.15438596  9.63184947
6761 Ntsc7814  0.15306122  7.39461033
6796 Ntsc7849  0.08695652  1.79665181
6933 Ntsc7986  0.00000000  1.31717366
6964 Ntsc8017  0.00000000  4.98937623
6966 Ntsc8019  0.14285714  8.25394186
7010 Ntsc8063  0.15671642  7.11922387
7037 Ntsc8090  0.15428571  7.87309346
7061 Ntsc8114  0.11627907  6.33342380
7070 Ntsc8123  0.15000000 -0.99366638
7074 Ntsc8127  0.14864865  8.41945276
7084 Ntsc8137  0.14754098  5.74262316
7099 Ntsc8152  0.14062500 -2.30133698

$crassa_sa_sex
       Geneid methylation  expression
4    Ntsc1045  0.14893617 12.01282718
78   Ntsc1119  0.15151515  4.59511512
80   Ntsc1121  0.05882353  0.13252290
96   Ntsc1137  0.15602837  3.69387555
134  Ntsc1175  0.00000000  8.73707244
205  Ntsc1246  0.15277778  2.14769052
339  Ntsc1380  0.14606742  6.40986500
404  Ntsc1445  0.13333333 -2.20760099
412  Ntsc1454  0.11538462  1.18249142
557  Ntsc1599  0.14285714  8.61866106
637  Ntsc1679  0.07894737  3.36018600
657  Ntsc1699  0.13333333  1.76389487
662  Ntsc1704  0.14634146  0.03614685
704  Ntsc1746  0.15517241  0.00000000
705  Ntsc1747  0.09375000 -1.21296799
819  Ntsc1861  0.13333333  5.23991979
1009 Ntsc2051  0.14606742  2.65507579
1080 Ntsc2122  0.12903226 -0.57700896
1124 Ntsc2167  0.09090909  6.79931738
1140 Ntsc2183  0.08695652  8.65161691
1153 Ntsc2196  0.13761468  8.53277259
1196 Ntsc2239  0.15444015 10.02610453
1253 Ntsc2296  0.00000000 -2.06467343
1270 Ntsc2313  0.13274336  9.45087680
1307 Ntsc2350  0.00000000  1.82588052
1308 Ntsc2351  0.11864407 -0.06451984
1363 Ntsc2406  0.14925373  1.05304647
1376 Ntsc2419  0.07692308  1.47590160
1421 Ntsc2464  0.11764706 -2.39914161
1429 Ntsc2472  0.12500000 -1.92152900
1433 Ntsc2476  0.10256410  0.00000000
1447 Ntsc2490  0.13043478  5.80423333
1475 Ntsc2518  0.13333333  1.87609323
1495 Ntsc2538  0.15151515 -1.86764055
1513 Ntsc2556  0.13513514 -0.51065296
1517 Ntsc2560  0.09004739  8.76751731
1637 Ntsc2680  0.15517241  8.48616477
1655 Ntsc2698  0.12500000  5.85753136
1744 Ntsc2787  0.10843373  1.88884266
1773 Ntsc2816  0.10000000  7.17754383
1928 Ntsc2972  0.13114754  7.09035143
2041 Ntsc3086  0.13559322  3.18985631
2192 Ntsc3237  0.13235294  9.51468331
2237 Ntsc3282  0.12765957  7.44386265
2449 Ntsc3494  0.15573770  8.26453809
2532 Ntsc3577  0.13761468  9.46244697
2593 Ntsc3638  0.13333333  2.45314584
2664 Ntsc3710  0.00000000  5.77035589
2726 Ntsc3772  0.09302326  6.58499847
2814 Ntsc3860  0.14705882 11.99298079
