Geneid	Locus	Namespace	GO.ID	GO.term	pubMedId	EvidenceCode
Ntsc5854	NCU00008	biological_process	GO:0046513	ceramide biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5854	NCU00008	cellular_component	GO:0005783	endoplasmic reticulum	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5854	NCU00008	molecular_function	GO:0050291	sphingosine N-acyltransferase activity	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc2067	NCU00030	biological_process	GO:0006308	DNA catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc2067	NCU00030	biological_process	GO:0006401	RNA catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc2067	NCU00030	biological_process	GO:0006915	apoptosis	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc2067	NCU00030	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc2067	NCU00030	cellular_component	GO:0005739	mitochondrion	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc2067	NCU00030	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
Ntsc2067	NCU00030	cellular_component	GO:0005743	mitochondrial inner membrane	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc2067	NCU00030	molecular_function	GO:0004520	endodeoxyribonuclease activity	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc2067	NCU00030	molecular_function	GO:0004529	exodeoxyribonuclease activity	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc2067	NCU00030	molecular_function	GO:0004540	ribonuclease activity	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5803	NCU00041	biological_process	GO:0000909	sporocarp development involved in sexual reproduction	15701799	IMP: Inferred from Mutant Phenotype
Ntsc5803	NCU00041	biological_process	GO:0019236	response to pheromone	15701799	IMP: Inferred from Mutant Phenotype
Ntsc5803	NCU00041	biological_process	GO:0030814	regulation of cAMP metabolic process	15701799	IMP: Inferred from Mutant Phenotype
Ntsc5803	NCU00041	cellular_component	GO:0005834	heterotrimeric G-protein complex	15701799	IPI: Inferred from Physical Interaction
Ntsc5803	NCU00041	cellular_component	GO:0031680	G-protein beta/gamma-subunit complex	15701799	IPI: Inferred from Physical Interaction
Ntsc5796	NCU00043	biological_process	GO:0000077	DNA damage checkpoint	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5796	NCU00043	biological_process	GO:0000226	microtubule cytoskeleton organization	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5796	NCU00043	biological_process	GO:0000909	sporocarp development involved in sexual reproduction	19141471	IMP: Inferred from Mutant Phenotype
Ntsc5796	NCU00043	biological_process	GO:0006306	DNA methylation	19141471	IMP: Inferred from Mutant Phenotype
Ntsc5796	NCU00043	biological_process	GO:0006470	protein dephosphorylation	19141471	IMP: Inferred from Mutant Phenotype
Ntsc5796	NCU00043	biological_process	GO:0030448	hyphal growth	19141471	IMP: Inferred from Mutant Phenotype
Ntsc5796	NCU00043	biological_process	GO:0042752	regulation of circadian rhythm	14871927	IMP: Inferred from Mutant Phenotype
Ntsc5796	NCU00043	biological_process	GO:0045143	homologous chromosome segregation	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5796	NCU00043	biological_process	GO:0048315	conidium formation	19141471	IMP: Inferred from Mutant Phenotype
Ntsc5796	NCU00043	cellular_component	GO:0005634	nucleus	19020516	IDA: Inferred from Direct Assay
Ntsc5796	NCU00043	cellular_component	GO:0005737	cytoplasm	19020516	IDA: Inferred from Direct Assay
Ntsc5796	NCU00043	cellular_component	GO:0005829	cytosol	None	ISS: Inferred from Sequence or Structural Similarity
Ntsc5796	NCU00043	cellular_component	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	None	ISS: Inferred from Sequence or Structural Similarity
