$crassa_BA_sex
       Geneid methylation  expression
97   Ntsc1138   0.5000000  9.78848036
193  Ntsc1234   0.5000000  6.68451645
362  Ntsc1403   0.3684211  7.83012348
417  Ntsc1459   0.3809524  9.30554423
420  Ntsc1462   0.7142857 11.19905364
458  Ntsc1500   0.8235294  9.91113421
521  Ntsc1563   0.3557692  8.45190940
526  Ntsc1568   0.3725490  9.16892330
557  Ntsc1599   0.4285714  8.63666384
638  Ntsc1680   0.3571429  4.76868203
663  Ntsc1705   0.4972067  2.22056952
695  Ntsc1737   0.4305556 -1.63311368
728  Ntsc1770   0.5000000 -2.25531075
751  Ntsc1793   0.3740157  8.45982170
810  Ntsc1852   0.3684211  1.93237894
854  Ntsc1896   0.3841808  9.10409502
1168 Ntsc2211   0.4630225 12.39966336
1173 Ntsc2216   0.3597122  9.34835815
1190 Ntsc2233   0.5000000  9.51031539
1243 Ntsc2286   0.3859649  6.38664953
1276 Ntsc2319   0.4210526  7.72799122
1335 Ntsc2378   0.3810976 10.67528765
1389 Ntsc2432   0.3562874  8.42403402
1411 Ntsc2454   0.5000000  2.63998629
1421 Ntsc2464   0.4117647 -2.39909675
1556 Ntsc2599   0.3936170  6.84363428
1628 Ntsc2671   0.4050633  5.68050282
1632 Ntsc2675   0.3606557  8.21444728
1657 Ntsc2700   0.3579545  7.81961830
1677 Ntsc2720   0.3649635  6.91293417
1689 Ntsc2732   0.3551402  7.90737218
1798 Ntsc2841   0.4257426 -0.72753265
1876 Ntsc2920   0.3768116  6.70600411
2014 Ntsc3059   0.5137290 11.74475312
2057 Ntsc3102   0.4229391  6.81203126
2224 Ntsc3269   0.3593750  8.14206993
2248 Ntsc3293   0.5555556  7.47879270
2302 Ntsc3347   0.4886364  6.99541011
2341 Ntsc3386   0.3787879  9.97887289
2356 Ntsc3401   0.4736842  9.99021569
2570 Ntsc3615   0.3728814  7.07746233
2609 Ntsc3654   0.3583333  5.39450363
2692 Ntsc3738   0.3612903  9.20426149
2888 Ntsc3934   0.3750000 -2.10294480
2913 Ntsc3960   0.3571429  6.15347453
3027 Ntsc4074   1.0000000  9.58231320
3060 Ntsc4107   0.4347826 -1.39688222
3119 Ntsc4166   0.3548387  8.66847809
3125 Ntsc4172   0.4431818  8.82337663
3269 Ntsc4316   0.6184211  1.04257111
3358 Ntsc4405   0.3668639 10.29428494
3364 Ntsc4411   0.5154321 12.46677404
3379 Ntsc4426   0.3644860  3.21172655
3428 Ntsc4475   0.3548387 10.99816842
3478 Ntsc4525   0.4360902  0.57175690
3529 Ntsc4576   0.3688525 13.24425849
3575 Ntsc4622   0.3953488  5.20128101
3839 Ntsc4886   0.3787879 10.08362738
4013 Ntsc5060   0.4166667  9.21965010
4184 Ntsc5231   0.3676471  7.08755486
4245 Ntsc5292   0.4146341  9.45457105
4364 Ntsc5412   0.3728814  6.79413245
4467 Ntsc5515   0.3757225 13.90842047
4485 Ntsc5533   0.3956044  7.51704623
4491 Ntsc5539   0.3536585  3.65338789
4951 Ntsc5999   0.3859649  7.48793179
5017 Ntsc6065   0.4042553  5.92361456
5051 Ntsc6099   0.3658537  7.24326220
5107 Ntsc6155   0.4166667  1.57947792
5113 Ntsc6161   0.3636364  9.84442753
5125 Ntsc6173   0.4051282  9.47193960
5262 Ntsc6310   0.4736842  0.29403736
5266 Ntsc6314   0.3636364  4.35227638
5267 Ntsc6315   0.4461538  7.11258572
5274 Ntsc6322   0.3666667 -1.00048853
5351 Ntsc6400   0.5000000  5.74076618
5511 Ntsc6560   0.3647059 13.69081742
5521 Ntsc6570   0.3555556  8.68738481
5560 Ntsc6610   0.3600000  0.15007780
5584 Ntsc6635   0.3595506  0.06346183
5650 Ntsc6701   0.4000000  6.66068479
5664 Ntsc6715   0.5105485  9.43653558
5669 Ntsc6720   0.3809524  9.56964233
5781 Ntsc6832   0.4311377 12.68206547
5915 Ntsc6966   0.3723404  6.76069948
6007 Ntsc7058   0.3666667  9.07377257
6036 Ntsc7087   0.3852459  9.29713552
6074 Ntsc7125   0.9287599  7.47948204
6079 Ntsc7130   0.5699052 10.99007359
6086 Ntsc7137   0.5000000 -2.30316329
6106 Ntsc7157   0.5000000  3.58094060
6307 Ntsc7359   0.3636364  9.03577192
6496 Ntsc7548   0.6956522 12.63760023
6497 Ntsc7549   0.4419411 10.12105235
6518 Ntsc7570   0.3942308  6.59134116
6737 Ntsc7790   0.3978202 12.19667531
6745 Ntsc7798   0.3809524  6.07793757
6753 Ntsc7806   0.3559322  1.45322454
6797 Ntsc7850   0.5330739 10.72047711
6839 Ntsc7892   0.3571429 10.30774462
6855 Ntsc7908   0.5323529  6.00099719
6944 Ntsc7997   0.3888889 11.40361564
