"geneID" "distance" "met_veg" "met_sex"
"Ntsc3922" "Ntsc3922" 11073 0.236714975845411 0.309178743961353
"Ntsc1443" "Ntsc1443" 13404 0.260714285714286 0.3
"Ntsc3921" "Ntsc3921" 8970 0.202898550724638 0.202898550724638
"Ntsc1442" "Ntsc1442" 7742 0.287671232876712 0.301369863013699
"Ntsc3920" "Ntsc3920" 7480 0.175 0.183333333333333
"Ntsc3909" "Ntsc3909" 9240 0.241666666666667 0.270833333333333
"Ntsc3931" "Ntsc3931" 13739 0.25462962962963 0.236111111111111
"Ntsc3919" "Ntsc3919" 12240 0.258333333333333 0.252777777777778
"Ntsc3930" "Ntsc3930" 8260 0.248484848484848 0.263636363636364
"Ntsc1441" "Ntsc1441" 2723 0.279116465863454 0.315261044176707
"Ntsc3908" "Ntsc3908" 0 0.19047619047619 0.293650793650794
"Ntsc3929" "Ntsc3929" 70 0.243727598566308 0.28673835125448
"Ntsc3918" "Ntsc3918" 3248 0.214285714285714 0.293650793650794
"Ntsc3917" "Ntsc3917" 5686 0.267015706806283 0.219895287958115
"Ntsc1438" "Ntsc1438" 9956 0.347222222222222 0.277777777777778
"Ntsc1437" "Ntsc1437" 8991 0.174757281553398 0.213592233009709
"Ntsc3928" "Ntsc3928" 1828 0.189873417721519 0.232067510548523
"Ntsc3916" "Ntsc3916" 87 0.224137931034483 0.206896551724138
"Ntsc1440" "Ntsc1440" 138 0.239130434782609 0.204347826086957
"Ntsc3927" "Ntsc3927" 1 0.203389830508475 0.254237288135593
"Ntsc3935" "Ntsc3935" 882 0.333333333333333 0.333333333333333
"Ntsc3926" "Ntsc3926" 2087 NA NA
"Ntsc1436" "Ntsc1436" 5699 0.23046875 0.25390625
"Ntsc7887" "Ntsc7887" 4434 0.216216216216216 0.216216216216216
"Ntsc3934" "Ntsc3934" 2891 0.375 0.375
"Ntsc3925" "Ntsc3925" 0 0.210526315789474 0.210526315789474
"Ntsc3933" "Ntsc3933" 1072 0.213114754098361 0.204918032786885
"Ntsc7886" "Ntsc7886" 2348 0.4 0.25
"Ntsc3924" "Ntsc3924" 5639 0.217647058823529 0.217647058823529
"Ntsc1447" "Ntsc1447" 10905 0.0588235294117647 0.176470588235294
"Ntsc1439" "Ntsc1439" 14061 0.206185567010309 0.154639175257732
"Ntsc3923" "Ntsc3923" 17739 0.213333333333333 0.213333333333333
"Ntsc3907" "Ntsc3907" 15580 0.201612903225806 0.266129032258065
"Ntsc3915" "Ntsc3915" 14047 0.174757281553398 0.203883495145631
"Ntsc3914" "Ntsc3914" 11860 0.263157894736842 0.271929824561404
"Ntsc3906" "Ntsc3906" 10785 0.210526315789474 0.2
"Ntsc7885" "Ntsc7885" 6377 0.277777777777778 0.30952380952381
"Ntsc1435" "Ntsc1435" 385 NA NA
"Ntsc7884" "Ntsc7884" 1173 0.242424242424242 0.262626262626263
"Ntsc7889" "Ntsc7889" 1350 NA NA
"Ntsc3905" "Ntsc3905" 6256 0.246537396121884 0.28808864265928
"Ntsc3913" "Ntsc3913" 9933 0.248888888888889 0.351111111111111
"Ntsc3912" "Ntsc3912" 12455 0.260355029585799 0.272189349112426
"Ntsc3932" "Ntsc3932" 14844 0.102564102564103 0.179487179487179
"Ntsc3904" "Ntsc3904" 19787 0.276422764227642 0.308943089430894
"Ntsc1446" "Ntsc1446" 25293 0.256983240223464 0.259776536312849
"Ntsc1445" "Ntsc1445" 23774 0 0.333333333333333
"Ntsc3903" "Ntsc3903" 19131 0.234939759036145 0.289156626506024
"Ntsc3902" "Ntsc3902" 14429 0.253333333333333 0.268888888888889
"Ntsc7888" "Ntsc7888" 10375 0.212389380530973 0.278761061946903
"Ntsc3901" "Ntsc3901" 8327 0.236714975845411 0.236714975845411
"Ntsc1444" "Ntsc1444" 6831 0.173913043478261 0.289855072463768
"Ntsc3911" "Ntsc3911" 2212 0.248756218905473 0.228855721393035
"Ntsc3910" "Ntsc3910" 5271 0.212264150943396 0.212264150943396
"Ntsc3900" "Ntsc3900" 2299 0.272277227722772 0.242574257425743
"Ntsc3899" "Ntsc3899" 330 0.248175182481752 0.302919708029197
"Ntsc3898" "Ntsc3898" 2409 0.203252032520325 0.219512195121951
"Ntsc1434" "Ntsc1434" 9147 0.103448275862069 0.206896551724138
"Ntsc1433" "Ntsc1433" 17569 0.293255131964809 0.272727272727273
"Ntsc3897" "Ntsc3897" 21980 0.180327868852459 0.147540983606557
"Ntsc1432" "Ntsc1432" 23994 0.189448441247002 0.191846522781775
"Ntsc3896" "Ntsc3896" 22635 0.295698924731183 0.268817204301075
"Ntsc1428" "Ntsc1428" 20487 0.347826086956522 0.304347826086957
"Ntsc1431" "Ntsc1431" 18664 0.272727272727273 0.245454545454545
"Ntsc1430" "Ntsc1430" 14152 0.248407643312102 0.264331210191083
"Ntsc1429" "Ntsc1429" 10870 0.189189189189189 0.232432432432432
"Ntsc3895" "Ntsc3895" 4480 0.198757763975155 0.22360248447205
"Ntsc1426" "Ntsc1426" 1413 0 0
"Ntsc1427" "Ntsc1427" 29 0.25 0.284722222222222
"Ntsc3894" "Ntsc3894" 2000 0.233644859813084 0.247663551401869
"Ntsc3893" "Ntsc3893" 4730 0.184615384615385 0.0923076923076923
"Ntsc3892" "Ntsc3892" 4318 0.245901639344262 0.258652094717668
"Ntsc1425" "Ntsc1425" 2782 0.247524752475248 0.262376237623762
"Ntsc3891" "Ntsc3891" 344 0.195020746887967 0.280082987551867
"Ntsc1424" "Ntsc1424" 2841 0.222222222222222 0.282051282051282
"Ntsc3890" "Ntsc3890" 941 0.231707317073171 0.195121951219512
"Ntsc3888" "Ntsc3888" 2270 0.186206896551724 0.213793103448276
"Ntsc3887" "Ntsc3887" 7711 0.23963133640553 0.276497695852535
"Ntsc3889" "Ntsc3889" 5618 0.248062015503876 0.255813953488372
"Ntsc3877" "Ntsc3877" 255 0.229166666666667 0.266666666666667
"Ntsc3874" "Ntsc3874" 2953 0.2109375 0.3046875
"Ntsc3883" "Ntsc3883" 4273 0.142857142857143 0.142857142857143
"Ntsc1423" "Ntsc1423" 6116 0.228448275862069 0.206896551724138
"Ntsc3881" "Ntsc3881" 9351 0.274725274725275 0.285714285714286
"Ntsc3880" "Ntsc3880" 12447 0.259090909090909 0.240909090909091
"Ntsc3882" "Ntsc3882" 17191 0.248868778280543 0.203619909502262
"Ntsc1421" "Ntsc1421" 20209 0.188679245283019 0.207547169811321
"Ntsc1422" "Ntsc1422" 21674 0.181818181818182 0.25974025974026
"Ntsc3879" "Ntsc3879" 21288 0.24390243902439 0.353658536585366
"Ntsc3873" "Ntsc3873" 18095 0.211428571428571 0.291428571428571
"Ntsc3876" "Ntsc3876" 14941 0.136986301369863 0.273972602739726
"Ntsc1420" "Ntsc1420" 13366 0.274725274725275 0.291208791208791
"Ntsc3872" "Ntsc3872" 9786 0.205047318611987 0.239747634069401
"Ntsc3875" "Ntsc3875" 7635 0.383720930232558 0.325581395348837
"Ntsc3878" "Ntsc3878" 5650 0.130434782608696 0.260869565217391
"Ntsc7883" "Ntsc7883" 2638 NA NA
"Ntsc3862" "Ntsc3862" 2323 0.227848101265823 0.231012658227848
"Ntsc3868" "Ntsc3868" 4299 0.259927797833935 0.299638989169675
"Ntsc3869" "Ntsc3869" 3003 0.290322580645161 0.241935483870968
"Ntsc3867" "Ntsc3867" 10374 0.267857142857143 0.235714285714286
"Ntsc1419" "Ntsc1419" 15223 0.194444444444444 0.194444444444444
"Ntsc3861" "Ntsc3861" 16261 0.231428571428571 0.26
"Ntsc3866" "Ntsc3866" 17266 0.0816326530612245 0.183673469387755
"Ntsc3865" "Ntsc3865" 13665 0.191919191919192 0.218855218855219
"Ntsc3860" "Ntsc3860" 10951 0.213235294117647 0.191176470588235
"Ntsc3871" "Ntsc3871" 9175 0.181818181818182 0.28030303030303
"Ntsc3864" "Ntsc3864" 6927 0.235576923076923 0.298076923076923
"Ntsc3870" "Ntsc3870" 4940 0.225806451612903 0.311827956989247
"Ntsc1418" "Ntsc1418" 728 0.207894736842105 0.234210526315789
"Ntsc3859" "Ntsc3859" 637 0.239520958083832 0.221556886227545
"Ntsc3863" "Ntsc3863" 8303 0.225092250922509 0.22140221402214
"Ntsc3858" "Ntsc3858" 4773 0.142857142857143 0.142857142857143
"Ntsc3852" "Ntsc3852" 90 0.323076923076923 0.261538461538462
"Ntsc7881" "Ntsc7881" 793 0.1875 0.25
"Ntsc3851" "Ntsc3851" 6056 0.231788079470199 0.28476821192053
"Ntsc3857" "Ntsc3857" 9745 0.224358974358974 0.239316239316239
"Ntsc3849" "Ntsc3849" 15363 0.235528942115768 0.259481037924152
"Ntsc3848" "Ntsc3848" 522 0.225242718446602 0.281553398058252
"Ntsc3850" "Ntsc3850" 2756 0.24390243902439 0.264227642276423
"Ntsc3847" "Ntsc3847" 3231 0.300438596491228 0.293859649122807
"Ntsc3853" "Ntsc3853" 0 0.240384615384615 0.298076923076923
"Ntsc1417" "Ntsc1417" 487 0.287128712871287 0.277227722772277
"Ntsc7880" "Ntsc7880" 245 0.174418604651163 0.290697674418605
"Ntsc3856" "Ntsc3856" 245 0.297297297297297 0.216216216216216
"Ntsc3855" "Ntsc3855" 645 0.267515923566879 0.270700636942675
"Ntsc1416" "Ntsc1416" 4130 0.221238938053097 0.230088495575221
"Ntsc3854" "Ntsc3854" 5417 0.222222222222222 0.185185185185185
"Ntsc7882" "Ntsc7882" 5735 0.151898734177215 0.227848101265823
"Ntsc3846" "Ntsc3846" 3381 0.28719723183391 0.273356401384083
"Ntsc1415" "Ntsc1415" 139 0.222910216718266 0.256965944272446
"Ntsc1414" "Ntsc1414" 0 0.24390243902439 0.24390243902439
"Ntsc3843" "Ntsc3843" 7272 0.216666666666667 0.208333333333333
"Ntsc3845" "Ntsc3845" 9894 0.177884615384615 0.182692307692308
"Ntsc3842" "Ntsc3842" 12428 0.294685990338164 0.246376811594203
"Ntsc3844" "Ntsc3844" 18578 0.198675496688742 0.291390728476821
"Ntsc3823" "Ntsc3823" 13639 0.229050279329609 0.259776536312849
"Ntsc3832" "Ntsc3832" 10832 0.234567901234568 0.320987654320988
"Ntsc3831" "Ntsc3831" 5638 0.2125 0.325
"Ntsc3822" "Ntsc3822" 2343 0.205776173285199 0.245487364620939
"Ntsc1401" "Ntsc1401" 0 0.264705882352941 0.252941176470588
"Ntsc3830" "Ntsc3830" 0 0.182389937106918 0.226415094339623
"Ntsc3804" "Ntsc3804" 2461 0.263066202090592 0.279616724738676
"Ntsc1408" "Ntsc1408" 10464 0.319727891156463 0.26530612244898
"Ntsc1400" "Ntsc1400" 8608 0.241635687732342 0.286245353159851
"Ntsc3841" "Ntsc3841" 5895 0.255924170616114 0.279620853080569
"Ntsc3821" "Ntsc3821" 5581 0.228360957642726 0.25414364640884
"Ntsc3803" "Ntsc3803" 4316 0.25 0.303571428571429
"Ntsc1407" "Ntsc1407" 1823 0.210526315789474 0.263157894736842
"Ntsc3820" "Ntsc3820" 0 0.344827586206897 0.275862068965517
"Ntsc3840" "Ntsc3840" 284 0.213483146067416 0.224719101123595
"Ntsc3819" "Ntsc3819" 1633 0.222972972972973 0.277027027027027
"Ntsc3802" "Ntsc3802" 134 0.24750499001996 0.283433133732535
"Ntsc1406" "Ntsc1406" 14596 0.223076923076923 0.238461538461538
"Ntsc3839" "Ntsc3839" 17044 0.238461538461538 0.246153846153846
"Ntsc3801" "Ntsc3801" 19814 0.262745098039216 0.188235294117647
"Ntsc3838" "Ntsc3838" 31568 0.263888888888889 0.286111111111111
"Ntsc3818" "Ntsc3818" 36024 0.240740740740741 0.240740740740741
"Ntsc3829" "Ntsc3829" 38147 0.277777777777778 0.222222222222222
"Ntsc3817" "Ntsc3817" 39866 0.23598820058997 0.31858407079646
"Ntsc1405" "Ntsc1405" 41204 0.333333333333333 0
"Ntsc3816" "Ntsc3816" 45942 0.248062015503876 0.27906976744186
"Ntsc1404" "Ntsc1404" 45403 0.217391304347826 0.226086956521739
"Ntsc3815" "Ntsc3815" 39987 0.257352941176471 0.279411764705882
"Ntsc3800" "Ntsc3800" 39020 0.245901639344262 0.213114754098361
"Ntsc3828" "Ntsc3828" 36435 0.276422764227642 0.268292682926829
"Ntsc3837" "Ntsc3837" 34796 0.201388888888889 0.256944444444444
"Ntsc3799" "Ntsc3799" 31039 0.290322580645161 0.206451612903226
"Ntsc3798" "Ntsc3798" 23735 0.242320819112628 0.25938566552901
"Ntsc3797" "Ntsc3797" 19456 0.267175572519084 0.236641221374046
"Ntsc7879" "Ntsc7879" 15932 0.239130434782609 0.232919254658385
"Ntsc3827" "Ntsc3827" 14762 0.188405797101449 0.130434782608696
"Ntsc1398" "Ntsc1398" 11765 0.272727272727273 0.246753246753247
"Ntsc7878" "Ntsc7878" 8841 0.267326732673267 0.277227722772277
"Ntsc1397" "Ntsc1397" 526 0.218518518518519 0.240740740740741
"Ntsc3836" "Ntsc3836" 1654 0.305084745762712 0.322033898305085
"Ntsc3814" "Ntsc3814" 478 0.203389830508475 0.266949152542373
"Ntsc3796" "Ntsc3796" 10296 0.280966767371601 0.293051359516616
"Ntsc3795" "Ntsc3795" 14214 0.188612099644128 0.234875444839858
"Ntsc3835" "Ntsc3835" 17956 0.265700483091787 0.352657004830918
"Ntsc3794" "Ntsc3794" 17068 0.23463687150838 0.229050279329609
"Ntsc3793" "Ntsc3793" 12139 0.255421686746988 0.281927710843373
"Ntsc3826" "Ntsc3826" 9551 0.239583333333333 0.234375
"Ntsc7877" "Ntsc7877" 117 0.22248243559719 0.203747072599532
"Ntsc1402" "Ntsc1402" 770 0.235059760956175 0.322709163346614
"Ntsc1396" "Ntsc1396" 3247 0.314102564102564 0.314102564102564
"Ntsc1395" "Ntsc1395" 7598 0.277777777777778 0.216666666666667
"Ntsc1399" "Ntsc1399" 11502 0.308823529411765 0.299019607843137
"Ntsc3813" "Ntsc3813" 13956 0.302439024390244 0.229268292682927
"Ntsc3812" "Ntsc3812" 20180 0.189189189189189 0.237837837837838
"Ntsc3834" "Ntsc3834" 8425 0.256064690026954 0.296495956873315
"Ntsc3792" "Ntsc3792" 4143 0.264797507788162 0.283489096573209
"Ntsc1394" "Ntsc1394" 1984 0.289156626506024 0.289156626506024
"Ntsc3811" "Ntsc3811" 44 0.2 0.16
"Ntsc3791" "Ntsc3791" 44 0.23 0.22
"Ntsc1393" "Ntsc1393" 1713 0.223039215686275 0.245098039215686
"Ntsc3810" "Ntsc3810" 2649 0.241590214067278 0.226299694189602
"Ntsc3825" "Ntsc3825" 8664 0.352941176470588 0.254901960784314
