Chromosome	start	stop	geneID	orthoID	StartWithPR
I	1151	2878	NCU10129	NA	1051
I	3178	6443	NCU09901	NA	3078
I	9177	13334	NCU09903	NA	9077
I	15930	16647	NCU11134	NA	15830
I	17441	19615	NCU09904	NA	17341
I	34981	39245	NCU09906	NA	34881
I	40950	42632	NCU09907	NA	40850
I	43709	44551	NCU09908	NA	43609
I	45332	48154	NCU09909	NA	45232
I	49237	52949	NCU09910	NA	49137
I	53114	54518	NCU09911	NA	53014
I	54882	57945	NCU09912	NA	54782
I	59146	61150	NCU09913	NA	59046
I	62094	62950	NCU09914	NA	61994
I	91324	92593	NCU10501	NA	91224
I	93474	98954	NCU08049	NA	93374
I	99983	102134	NCU08050	Ntsc3922	99883
I	102314	105940	NCU08051	Ntsc1443	102214
I	102849	103781	NCU16303	NA	102749
I	109911	112060	NCU08052	Ntsc3921	109811
I	112097	113288	NCU08053	Ntsc1442	111997
I	113613	117165	NCU08054	NA	113513
I	117750	119387	NCU08055	NA	117650
I	122928	128314	NCU08056	NA	122828
I	128668	129912	NCU08057	Ntsc3920	128568
I	130428	132364	NCU08058	Ntsc3909	130328
I	133836	134464	NCU08059	NA	133736
I	134927	137208	NCU08060	Ntsc3931	134827
I	137593	139980	NCU08062	Ntsc3919	137493
I	139966	143960	NCU08063	Ntsc3930	139866
I	144649	149497	NCU08064	Ntsc1441	144549
I	149511	152241	NCU08065	Ntsc3908	149411
I	152421	155040	NCU08066	Ntsc3929	152321
I	155599	157284	NCU10696	Ntsc3918	155499
I	158037	161116	NCU08067	Ntsc3917	157937
I	162307	163765	NCU08068	Ntsc1438	162207
I	163963	166034	NCU08069	Ntsc1437	163863
I	169835	173197	NCU08070	Ntsc3928	169735
I	173482	174938	NCU08071	Ntsc3916	173382
I	175275	178146	NCU08072	Ntsc1440	175175
I	178614	180242	NCU08073	Ntsc3927	178514
I	181223	181975	NCU08074	Ntsc3935	181123
I	182428	185051	NCU08075	Ntsc3926	182328
I	186040	188208	NCU08076	Ntsc1436	185940
I	188531	189595	NCU08077	Ntsc7887	188431
I	190407	191138	NCU08078	Ntsc3934	190307
I	193144	194064	NCU08079	Ntsc3925	193044
I	195021	195335	NCU08080	NA	194921
I	195781	196290	NCU16305	NA	195681
I	198195	198497	NCU08081	NA	198095
I	208395	209343	NCU08083	NA	208295
I	210487	212487	NCU08084	Ntsc3933	210387
I	214620	215734	NCU08085	NA	214520
I	216105	216521	NCU08086	Ntsc7886	216005
I	219396	220979	NCU08087	Ntsc3924	219296
I	224662	224874	NCU08089	Ntsc1447	224562
I	226935	227879	NCU16306	NA	226835
I	227818	228981	NCU08090	Ntsc1439	227718
I	231496	232838	NCU10622	Ntsc3923	231396
I	233028	234749	NCU08091	NA	232928
I	234736	237045	NCU08092	Ntsc3907	234636
I	237549	238578	NCU08093	Ntsc3915	237449
I	239112	240765	NCU08094	Ntsc3914	239012
I	240744	241840	NCU08095	Ntsc3906	240644
I	243324	246248	NCU08096	Ntsc7885	243224
I	246887	247478	NCU16307	NA	246787
I	249097	251944	NCU08097	NA	248997
I	253456	254492	NCU08098	NA	253356
I	254975	255694	NCU08099	NA	254875
I	256166	256694	NCU08100	NA	256066
I	257493	259361	NCU08101	NA	257393
I	262020	263387	NCU08102	Ntsc1435	261920
I	264036	265388	NCU08103	Ntsc7884	263936
I	291633	292877	NCU08105	NA	291533
I	293167	294573	NCU08106	Ntsc7889	293067
I	296499	297770	NCU08107	NA	296399
I	302353	303729	NCU08109	NA	302253
I	305342	308567	NCU08110	Ntsc3905	305242
I	309019	310364	NCU08111	Ntsc3913	308919
I	311541	313460	NCU08112	Ntsc3912	311441
I	313930	315269	NCU08113	Ntsc3932	313830
I	318873	321079	NCU08114	Ntsc3904	318773
I	325003	328569	NCU08115	Ntsc1446	324903
I	328658	330088	NCU08116	Ntsc1445	328558
I	332175	334731	NCU08117	Ntsc3903	332075
I	335202	339433	NCU08118	Ntsc3902	335102
I	340059	343487	NCU08119	Ntsc7888	339959
I	343608	345535	NCU08120	Ntsc3901	343508
I	345768	347031	NCU08121	Ntsc1444	345668
I	348246	352922	NCU10647	NA	348146
I	351913	353209	NCU16310	NA	351813
